"m.z","ES0_1","ES0_2","ES0_3","ES0.5_1","ES0.5_2","ES0.5_3","ES2.5_1","ES2.5_2","ES2.5_3","ES5_1","ES5_2","ES5_3","ES8_1","ES8_2","ES8_3","ES0_AIR","ES0.5_AIR","ES2.5_AIR","ES5_AIR","ES8_AIR"
"m17.026 ((H3N)+) ",104.247,103.601,101.596,104.05,99.045,102.343,103.052,106.086,101.243,109.8,104.794,101.696,104.602,99.531,99.498,105.247,107.347,147.011,106.02,104.116
"m18.010 ((H2O)+) ",6259.136,6325.095,6295.984,6234.549,6211.781,6285.394,6273.281,6334.41,6251.722,6236.761,6259.407,6291.034,6239.353,6372.784,6238.44,6182.935,6222.499,8512.92,6191.047,6201.41
"m18.034 ((H3N)H+) ",6262.563,6329.393,6300.408,6241.025,6217.073,6290.649,6279.06,6341.719,6258.455,6243.427,6264.676,6298.474,6247.652,6380.462,6248.753,6184.546,6228.98,8543.192,6197.689,6209.609
"m19.018 ((H2O)H+) ",544524.5,546247.125,546615.625,543686.187,543667.062,540637.062,542208.687,544867.062,542074,544647.687,540771.562,542821.062,541334.125,541974.875,540422.562,543969.875,542634.625,523839.344,544041.125,542704.125
"m21.022 (H3O 18+) ",1603.648,1591.826,1595.265,1592.948,1617.503,1605.822,1630.814,1633.242,1621.264,1608.598,1618.826,1615.245,1616.736,1623.123,1627.694,1608.508,1641.145,1920.716,1614.969,1638.78
"m26.015 ((C2H2)+) ",4.909,4.748,4.781,4.877,5.846,5.491,4.651,4.813,4.845,5.168,5.2,5.652,4.942,5.362,4.49,4.619,4.489,5.652,4.845,4.716
"m27.010 ((CHN)+) ",26.083,28.246,29.829,26.599,28.601,31.701,31.54,35.863,31.634,26.859,37.413,38.121,28.019,36.605,29.957,15.916,17.852,11.301,19.144,21.531
"m27.994 ((CO)+) ",23.014,22.466,21.595,21.335,21.432,22.659,23.501,24.727,23.305,23.078,23.693,21.724,22.079,24.855,22.111,22.11,22.013,30.213,22.241,22.013
"m28.006 ((N2)+) ",22.949,22.531,21.595,21.368,21.496,22.53,23.824,24.727,23.402,23.11,23.758,21.724,22.015,25.049,22.208,22.271,22.013,30.116,22.241,21.948
"m28.018 ((CHN)H+) ",22.852,22.531,21.563,21.335,21.561,22.498,23.792,24.695,23.499,23.046,23.5,21.724,21.982,24.984,22.369,22.336,21.917,30.245,22.209,22.174
"m28.031 ((C2H4)+) ",22.852,22.595,21.725,21.4,21.367,22.433,23.792,24.695,23.563,23.143,23.435,21.627,22.112,24.855,22.369,22.239,21.787,30.148,22.306,22.11
"m29.002 ((CHO)+) ",4071.655,4050.322,4055.123,4056.074,4063.183,4064.328,4074.695,4110.292,4050.261,4054.264,4069.681,4016.183,4046.927,4090.027,4073.455,4087.726,4041.663,5094.506,4055.885,4047.469
"m29.013 ((N2)H+) ",4071.486,4050.085,4054.953,4056.073,4063.476,4064.257,4074.851,4110.513,4050.158,4054.456,4069.84,4016.271,4047.085,4089.989,4073.418,4087.808,4041.578,5095.225,4055.942,4047.624
"m29.026 ((CH3N)+) ",4071.479,4049.718,4054.656,4056,4063.174,4063.916,4074.844,4110.381,4050.146,4054.35,4069.508,4016.239,4046.944,4089.96,4073.208,4087.572,4041.439,5095.233,4055.502,4047.484
"m29.039 ((C2H5)+) ",4070.843,4048.664,4054.003,4055.192,4061.896,4062.872,4074.482,4109.892,4049.782,4053.627,4069.077,4015.55,4046.256,4089.502,4072.319,4086.748,4041.007,5095.18,4054.682,4047.21
"m29.997 (NO+) ",2931.829,2909.081,2893.54,2898.611,2925.512,2905.029,2906.586,2904.74,2919.371,2897.378,2922.986,2907.789,2929.322,2923.424,2918.72,2907.393,2921.357,3675.526,2912.635,2920.716
"m30.021 ((H2N2)+) ",2931.736,2908.55,2893.665,2897.985,2925.643,2904.536,2906.085,2904.632,2918.88,2896.851,2922.685,2907.757,2929.093,2922.733,2918.969,2907.125,2920.987,3675.399,2912.333,2920.69
"m30.034 ((CH3N)H+) ",2930.877,2907.908,2892.971,2897.45,2925.431,2903.705,2905.453,2903.771,2918.203,2896.38,2921.596,2907.058,2928.456,2921.708,2918.298,2906.718,2920.516,3674.833,2911.109,2920.022
"m30.046 ((C2H5)H+) ",2928.819,2906.502,2891.4,2896.299,2924.448,2902.458,2904.076,2902.593,2916.959,2894.971,2919.996,2905.977,2927.374,2920.722,2916.817,2904.632,2919.43,3674.183,2909.667,2918.933
"m31.005 ((NO)H+) ",142.392,139.517,145.009,126.145,108.056,126.433,124.333,135.059,107.672,125.53,150.113,167.537,97.207,137.839,103.891,37.869,43.711,43.132,39.287,47.906
"m31.018 ((CH2O)H+) ",142.328,139.291,144.912,126.016,107.895,126.562,124.301,134.93,107.51,125.53,149.984,167.537,97.24,137.872,103.827,37.707,43.776,43.035,39.158,48.035
"m31.029 ((H2N2)H+) ",142.231,139.194,144.88,125.919,107.895,126.465,124.075,134.962,107.639,125.369,149.887,167.699,97.337,137.936,103.827,37.74,43.615,43.165,39.061,48.067
"m31.042 ((CH5N)+) ",141.844,138.419,144.331,125.628,107.734,126.272,123.816,134.639,107.155,124.949,149.241,167.279,97.175,137.452,103.374,37.74,43.195,42.906,38.932,47.744
"m31.054 ((C2H6)H+) ",141.037,137.871,143.782,124.659,107.443,125.917,123.397,134.284,106.477,124.497,148.821,166.698,96.949,136.645,102.955,37.578,42.872,42.68,38.9,47.486
"m31.989 (O2+) ",51999.316,50812.949,51065.844,50806.363,51805.445,51091.801,47092.172,45694.742,50815.258,51413.152,51130.465,50240.57,51760.07,44861.164,50955.719,52951.395,52537.434,67024.141,53126.586,52731.453
"m32.049 ((CH5N)H+) ",51882.109,50685.48,50973.617,50742.055,51744.602,51032.453,47041.863,45640.484,50757.555,51355.523,51073.723,50185.055,51703.691,44809.758,50896.082,52770.527,52465.844,66989.781,53065.434,52673.633
"m32.989 ((H2P)+) ",16163.309,16420.785,15803.255,13586.347,11544.494,13821.432,13905.095,14604.715,11104.415,11499.235,15802.312,20613.502,8246.692,15725.277,9856.9,936.224,1914.077,827.852,1613.754,2591.183
"m32.989 (O2 17+) ",16163.115,16420.361,15803.062,13586.024,11544.3,13821.206,13904.837,14604.489,11104.156,11499.105,15801.827,20613.244,8246.53,15725.181,9856.771,936.063,1913.98,827.852,1613.431,2590.989
"m32.997 ((O2)H+) ",16164.115,16422.08,15804.205,13588.041,11545.812,13822.714,13906.759,14606.8,11107.039,11501.383,15804.501,20617.977,8248.42,15728.647,9858.993,936.492,1914.195,828.288,1613.38,2591.704
"m33.033 ((CH4O)H+) ",16161.961,16419.652,15803.45,13587.479,11544.37,13823.017,13906.341,14605.926,11105.814,11499.138,15804.253,20618.207,8248.613,15728.573,9859.523,934.84,1913.64,828.951,1613.197,2590.854
"m33.045 ((H4N2)H+) ",16158.929,16417.852,15800.707,13585.713,11542.642,13820.804,13904.661,14603.598,11103.379,11497.345,15802.56,20616.057,8246.759,15726.706,9857.75,934.044,1912.787,828.286,1612.868,2590.379
"m33.987 ((H2S)+) ",426.963,423.073,424.203,387.889,371.842,391.778,379.883,381.207,361.442,365.848,420.7,480.4,329.465,394.889,345.983,239.076,248.433,297.643,252.342,255.194
"m33.997 ((H2P)H+) ",426.87,423.239,424.336,388.054,371.877,391.942,379.886,381.179,361.575,365.56,420.736,480.08,329.564,395.021,346.342,239.302,248.207,297.224,252.471,255.226
