m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	112.332	114.066	1.015
18.010	7187.918	7152.124	0.995
18.034	7201.984	7167.860	0.995
19.018	514899.625	515217.375	1.001
21.022	2020.053	2024.165	1.002
26.015	6.496	6.040	0.930
27.010	37.693	35.896	0.952
27.994	28.792	29.441	1.023
28.006	28.801	29.408	1.021
28.018	28.825	29.376	1.019
28.031	28.711	29.247	1.019
29.002	5335.479	5330.936	0.999
29.013	5335.958	5331.309	0.999
29.026	5336.114	5331.668	0.999
29.039	5335.699	5331.327	0.999
29.997	3588.627	3578.291	0.997
30.021	3588.470	3578.472	0.997
30.034	3588.038	3578.136	0.997
30.046	3586.022	3576.220	0.997
31.005	65.131	63.565	0.976
31.018	65.335	63.694	0.975
31.029	65.204	63.630	0.976
31.042	64.936	63.339	0.975
31.054	64.871	63.242	0.975
31.989	61340.305	61311.926	1.000
32.049	61275.859	61248.633	1.000
32.989	1317.163	1275.159	0.968
32.989	1317.163	1275.159	0.968
32.997	1317.825	1275.703	0.968
33.033	1317.557	1275.873	0.968
33.045	1317.218	1275.473	0.968
33.987	278.622	272.317	0.977
33.997	278.672	272.705	0.979
34.005	278.729	272.640	0.978
34.995	10.752	9.818	0.913
35.005	10.695	9.850	0.921
35.976	5.690	5.554	0.976
36.984	14166.509	14101.605	0.995
37.028	14171.858	14107.402	0.995
41.002	348.604	340.230	0.976
41.026	348.834	340.524	0.976
41.039	348.827	340.525	0.976
42.034	113.325	114.092	1.007
43.018	531.642	528.920	0.995
43.054	530.408	527.696	0.995
43.989	39.649	41.386	1.044
44.001	39.592	41.353	1.044
44.062	39.193	40.966	1.045
44.997	479.897	483.175	1.007
45.033	479.752	483.178	1.007
45.992	51.651	52.556	1.018
46.021	51.659	52.718	1.020
47.013	267.923	269.125	1.004
47.037	267.899	269.093	1.004
47.049	267.802	269.061	1.005
47.060	267.761	268.996	1.005
47.984	7.918	7.264	0.917
49.011	3.630	4.263	1.174
49.992	7.461	7.747	1.038
51.000	3.166	2.874	0.908
52.012	1.229	1.259	1.025
52.018	1.196	1.259	1.053
53.026	7.233	7.231	1.000
53.939	2.832	2.551	0.901
54.046	2.889	2.647	0.916
54.947	103.669	101.426	0.978
57.033	219.628	213.902	0.974
57.070	219.580	213.838	0.974
59.049	1260.316	1271.527	1.009
59.086	1259.644	1270.691	1.009
61.028	478.613	479.316	1.001
61.065	478.517	479.123	1.001
62.995	74.576	70.786	0.949
63.026	74.527	70.818	0.950
64.003	2.311	2.486	1.076
65.020	5.192	5.199	1.001
68.049	6.014	5.585	0.929
69.033	87.032	86.901	0.999
69.070	86.958	86.901	0.999
71.049	65.973	65.270	0.989
71.086	65.998	65.432	0.991
73.065	114.224	110.930	0.971
75.044	86.555	85.864	0.992
75.068	86.538	85.832	0.992
77.060	47.296	48.518	1.026
78.046	7.415	7.557	1.019
79.054	22.967	22.240	0.968
80.049	3.556	3.713	1.044
81.070	42.654	41.092	0.963
82.078	5.257	4.842	0.921
82.989	66.710	65.179	0.977
83.010	66.808	65.308	0.978
83.049	66.799	65.276	0.977
83.086	66.734	65.212	0.977
83.911	8.837	9.138	1.034
84.081	10.620	10.978	1.034
84.919	221.381	212.872	0.962
85.065	240.813	233.345	0.969
85.101	240.602	233.280	0.970
86.036	20.316	18.818	0.926
86.060	20.348	18.786	0.923
86.096	20.299	18.786	0.925
87.044	22.349	22.177	0.992
87.080	22.374	22.274	0.996
88.112	6.714	6.296	0.938
89.023	397.299	396.480	0.998
89.042	397.259	396.481	0.998
89.060	397.324	396.546	0.998
89.096	397.154	396.417	0.998
90.055	20.648	21.079	1.021
91.039	71.669	71.049	0.991
91.050	71.800	71.211	0.992
91.058	71.914	71.308	0.992
92.062	32.680	33.861	1.036
93.033	790.768	797.530	1.009
93.070	790.778	797.532	1.009
94.041	61.231	60.326	0.985
95.049	36.915	36.771	0.996
95.086	36.858	36.706	0.996
96.057	5.070	5.327	1.051
97.040	24.890	24.762	0.995
97.065	24.874	24.729	0.994
97.101	24.906	24.762	0.994
97.967	4.590	4.843	1.055
98.975	27.548	26.955	0.978
99.080	27.573	27.020	0.980
99.092	27.573	26.988	0.979
99.104	27.573	26.955	0.978
99.117	27.548	26.955	0.978
101.060	30.585	29.505	0.965
101.096	30.585	29.505	0.965
102.025	5.599	5.328	0.952
102.068	5.591	5.360	0.959
102.104	5.574	5.328	0.956
102.128	5.591	5.328	0.953
103.032	23.919	23.047	0.964
103.042	23.927	23.047	0.963
103.075	23.895	23.015	0.963
103.112	23.952	23.144	0.966
103.123	23.927	23.144	0.967
104.047	2.579	2.551	0.989
104.049	2.571	2.551	0.992
104.062	2.579	2.551	0.989
105.037	7.958	7.684	0.966
105.057	7.958	7.684	0.966
105.070	7.966	7.716	0.969
106.078	2.702	2.615	0.968
107.049	57.948	56.165	0.969
107.086	57.940	56.132	0.969
108.057	9.049	8.620	0.953
108.081	9.049	8.685	0.960
108.093	9.057	8.717	0.962
109.065	21.382	21.339	0.998
109.076	21.366	21.307	0.997
109.089	21.366	21.339	0.999
109.101	21.374	21.371	1.000
110.060	2.734	2.582	0.944
110.073	2.734	2.582	0.944
110.084	2.767	2.582	0.933
110.109	2.783	2.582	0.928
111.080	13.068	12.850	0.983
111.092	13.076	12.915	0.988
111.104	13.117	12.915	0.985
111.117	13.117	12.915	0.985
112.007	2.994	3.099	1.035
112.052	2.978	3.067	1.030
112.088	2.978	3.100	1.041
112.112	2.978	3.100	1.041
113.015	12.482	11.106	0.890
113.060	12.498	11.138	0.891
113.096	12.490	11.171	0.894
113.107	12.498	11.171	0.894
114.091	10.896	11.398	1.046
114.128	10.896	11.430	1.049
115.075	11.702	11.106	0.949
115.112	11.661	11.041	0.947
115.123	11.645	11.009	0.945
116.143	3.255	3.616	1.111
117.070	44.437	44.288	0.997
117.078	44.446	44.320	0.997
117.091	44.421	44.320	0.998
117.102	44.413	44.320	0.998
117.127	44.283	44.288	1.000
118.065	3.735	4.036	1.081
118.078	3.743	4.036	1.078
118.081	3.743	4.036	1.078
118.086	3.735	4.036	1.081
119.060	10.660	9.684	0.909
119.086	10.643	9.684	0.910
120.081	1.717	1.872	1.091
121.052	32.788	33.411	1.019
121.065	32.788	33.411	1.019
121.089	32.780	33.379	1.018
121.101	32.756	33.347	1.018
122.060	4.256	4.230	0.994
122.084	4.280	4.230	0.988
122.096	4.280	4.230	0.988
123.092	14.801	14.173	0.958
124.039	2.376	2.066	0.870
124.057	2.376	2.066	0.870
125.042	12.092	12.172	1.007
125.060	12.132	12.172	1.003
125.071	12.132	12.172	1.003
125.084	12.124	12.140	1.001
125.096	12.100	12.140	1.003
125.107	12.116	12.172	1.005
125.120	12.108	12.140	1.003
127.112	16.502	16.433	0.996
127.136	16.453	16.368	0.995
127.903	3.092	2.938	0.950
128.120	3.141	3.132	0.997
128.143	3.141	3.132	0.997
128.911	9.130	8.168	0.895
129.045	9.537	8.556	0.897
129.070	9.537	8.589	0.901
129.091	9.553	8.589	0.899
129.127	9.488	8.524	0.898
129.139	9.440	8.556	0.906
129.151	9.383	8.556	0.912
131.060	9.668	9.300	0.962
131.107	9.643	9.300	0.964
131.143	9.611	9.203	0.958
131.154	9.586	9.203	0.960
132.066	1.228	1.162	0.946
132.102	1.228	1.130	0.920
133.065	4.183	3.907	0.934
133.101	4.167	3.940	0.945
135.080	10.130	9.847	0.972
135.117	10.187	9.847	0.967
137.047	17.649	16.980	0.962
137.060	17.633	16.980	0.963
137.060	17.633	16.980	0.963
137.071	17.641	17.045	0.966
137.132	17.633	17.077	0.968
139.148	9.512	9.621	1.011
144.175	2.303	2.034	0.883
145.076	26.492	25.440	0.960
145.122	26.460	25.440	0.961
145.962	3.361	3.552	1.057
145.968	3.361	3.552	1.057
146.970	3.288	3.519	1.070
146.976	3.279	3.487	1.063
148.088	0.870	0.968	1.112
148.125	0.927	1.065	1.149
149.096	21.683	22.179	1.023
151.075	7.569	7.104	0.939
152.120	1.424	1.323	0.930
153.055	10.594	10.687	1.009
153.070	10.586	10.719	1.013
153.127	10.595	10.816	1.021
153.151	10.603	10.816	1.020
153.980	1.578	1.485	0.941
155.086	12.408	11.944	0.963
155.107	12.416	11.944	0.962
155.142	12.433	11.944	0.961
157.159	7.048	7.523	1.067
159.174	11.082	11.784	1.063
161.132	2.132	1.872	0.878
162.128	0.724	0.742	1.025
163.063	4.948	5.522	1.116
163.075	4.948	5.522	1.116
163.099	4.940	5.554	1.124
163.123	4.915	5.554	1.130
163.136	4.915	5.554	1.130
163.148	4.907	5.522	1.125
165.091	2.889	2.873	0.995
165.985	0.960	1.033	1.076
166.062	0.984	1.065	1.082
166.078	0.984	1.065	1.082
166.135	1.009	1.130	1.120
167.070	5.436	5.521	1.016
167.086	5.436	5.521	1.016
174.140	8.097	7.749	0.957
175.148	1.749	1.776	1.015
178.062	0.667	0.484	0.726
178.123	0.643	0.549	0.854
179.086	1.456	1.033	0.709
179.107	1.464	1.000	0.683
179.128	1.448	0.968	0.669
179.929	0.651	0.613	0.942
180.081	0.691	0.678	0.980
180.093	0.691	0.678	0.980
180.151	0.683	0.645	0.945
180.937	2.986	3.034	1.016
181.076	3.027	3.002	0.992
181.101	3.035	3.002	0.989
181.159	3.060	3.099	1.013
181.170	3.051	3.099	1.016
182.109	0.789	0.839	1.064
183.047	5.973	6.361	1.065
183.080	5.973	6.361	1.065
186.140	0.732	0.645	0.882
187.148	1.652	1.808	1.095
188.937	0.903	0.904	1.001
189.164	0.854	0.839	0.982
191.143	1.660	1.647	0.992
192.093	1.147	1.130	0.985
193.101	2.099	2.002	0.953
193.122	2.091	1.970	0.942
194.154	0.822	0.645	0.786
195.065	1.375	1.452	1.056
195.138	1.351	1.420	1.052
197.132	1.350	1.453	1.076
199.148	3.068	3.358	1.095
201.139	14.646	13.528	0.924
201.233	14.605	13.463	0.922
203.086	0.952	0.549	0.576
203.154	0.952	0.549	0.576
204.187	0.496	0.516	1.041
205.157	1.595	1.969	1.235
205.195	1.595	1.905	1.194
211.148	2.645	2.163	0.818
228.093	1.814	1.872	1.032
228.269	1.782	1.808	1.015
237.164	0.943	0.807	0.855
239.007	0.976	1.162	1.190
239.179	0.935	1.130	1.208
150.000	791.167	779.285	0.985
