m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	105.679	104.794	0.992
18.010	6268.380	6259.407	0.999
18.034	6275.508	6264.676	0.998
19.018	542311.125	540771.562	0.997
21.022	1626.225	1618.826	0.995
26.015	5.551	5.200	0.937
27.010	34.845	37.413	1.074
27.994	23.584	23.693	1.005
28.006	23.608	23.758	1.006
28.018	23.592	23.500	0.996
28.031	23.568	23.435	0.994
29.002	4085.329	4069.681	0.996
29.013	4085.312	4069.840	0.996
29.026	4085.019	4069.508	0.996
29.039	4084.412	4069.077	0.996
29.997	2929.812	2922.986	0.998
30.021	2929.728	2922.685	0.998
30.034	2929.059	2921.596	0.997
30.046	2927.763	2919.996	0.997
31.005	145.773	150.113	1.030
31.018	145.838	149.984	1.028
31.029	145.716	149.887	1.029
31.042	145.236	149.241	1.028
31.054	144.707	148.821	1.028
31.989	51403.293	51130.465	0.995
32.049	51346.266	51073.723	0.995
32.989	15586.025	15802.312	1.014
32.989	15585.707	15801.827	1.014
32.997	15588.380	15804.501	1.014
33.033	15588.118	15804.253	1.014
33.045	15586.269	15802.560	1.014
33.987	414.667	420.700	1.015
33.997	414.793	420.736	1.014
34.005	414.762	420.771	1.014
34.995	43.686	43.938	1.006
35.005	43.637	43.841	1.005
35.976	5.975	6.136	1.027
36.984	7911.270	7946.263	1.004
37.028	7911.736	7947.000	1.004
41.002	447.558	458.010	1.023
41.026	447.560	458.012	1.023
41.039	447.480	457.884	1.023
42.034	87.889	90.029	1.024
43.018	775.343	789.714	1.019
43.054	772.039	786.267	1.018
43.989	42.984	42.838	0.997
44.001	43.008	42.870	0.997
44.062	42.495	42.580	1.002
44.997	1523.237	1580.359	1.038
45.033	1522.626	1579.754	1.038
45.992	52.429	55.782	1.064
46.021	52.282	55.588	1.063
47.013	141.821	142.970	1.008
47.037	141.837	142.906	1.008
47.049	141.772	142.938	1.008
47.060	141.723	142.873	1.008
47.984	4.631	4.747	1.025
49.011	3.939	3.519	0.894
49.992	6.412	6.683	1.042
51.000	12.000	12.880	1.073
52.012	1.041	0.872	0.837
52.018	1.017	0.904	0.889
53.026	8.185	8.651	1.057
53.939	2.571	2.550	0.992
54.046	2.547	2.453	0.963
54.947	102.000	102.233	1.002
57.033	316.131	326.391	1.032
57.070	316.026	326.262	1.032
59.049	2343.742	2466.659	1.052
59.086	2341.699	2464.760	1.053
61.028	994.592	995.603	1.001
61.065	994.034	995.155	1.001
62.995	74.827	74.950	1.002
63.026	74.860	75.112	1.003
64.003	2.466	2.841	1.152
65.020	5.200	5.683	1.093
68.049	4.866	4.455	0.916
69.033	69.355	69.562	1.003
69.070	69.347	69.530	1.003
71.049	52.630	55.587	1.056
71.086	52.589	55.426	1.054
73.065	407.815	423.428	1.038
75.044	194.331	194.135	0.999
75.068	194.152	193.974	0.999
77.060	26.729	26.635	0.996
78.046	4.224	4.230	1.002
79.054	28.687	27.244	0.950
80.049	3.540	3.164	0.894
81.070	63.900	63.006	0.986
82.078	6.168	5.553	0.900
82.989	49.944	51.778	1.037
83.010	49.960	51.778	1.036
83.049	49.920	51.778	1.037
83.086	49.789	51.552	1.035
83.911	5.916	5.715	0.966
84.081	6.405	6.199	0.968
84.919	152.624	154.339	1.011
85.065	155.881	158.086	1.014
85.101	155.669	157.957	1.015
86.036	12.188	12.299	1.009
86.060	12.180	12.299	1.010
86.096	12.139	12.332	1.016
87.044	28.045	28.020	0.999
87.080	28.045	27.988	0.998
88.112	5.615	6.102	1.087
89.023	302.844	309.025	1.020
89.042	302.811	308.928	1.020
89.060	302.795	308.896	1.020
89.096	302.706	308.799	1.020
90.055	15.058	15.978	1.061
91.039	67.625	67.304	0.995
91.050	67.657	67.466	0.997
91.058	67.608	67.433	0.997
92.062	17.629	17.850	1.013
93.033	310.496	306.137	0.986
93.070	310.472	306.073	0.986
94.041	24.373	24.435	1.003
95.049	25.784	25.601	0.993
95.086	25.727	25.601	0.995
96.057	3.304	3.196	0.967
97.040	21.309	21.694	1.018
97.065	21.301	21.727	1.020
97.101	21.301	21.695	1.018
