m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	103.847	104.116	1.003
18.010	6184.571	6201.410	1.003
18.034	6192.125	6209.609	1.003
19.018	542356.750	542704.125	1.001
21.022	1625.377	1638.780	1.008
26.015	4.358	4.716	1.082
27.010	21.983	21.531	0.979
27.994	22.193	22.013	0.992
28.006	22.226	21.948	0.988
28.018	22.333	22.174	0.993
28.031	22.316	22.110	0.991
29.002	4046.314	4047.469	1.000
29.013	4046.431	4047.624	1.000
29.026	4046.283	4047.484	1.000
29.039	4045.703	4047.210	1.000
29.997	2914.513	2920.716	1.002
30.021	2914.508	2920.690	1.002
30.034	2913.727	2920.022	1.002
30.046	2912.391	2918.933	1.002
31.005	48.774	47.906	0.982
31.018	48.716	48.035	0.986
31.029	48.651	48.067	0.988
31.042	48.347	47.744	0.988
31.054	48.109	47.486	0.987
31.989	52667.906	52731.453	1.001
32.049	52609.523	52673.633	1.001
32.989	2826.965	2591.183	0.917
32.989	2826.800	2590.989	0.917
32.997	2827.568	2591.704	0.917
33.033	2826.632	2590.854	0.917
33.045	2825.997	2590.379	0.917
33.987	260.476	255.194	0.980
33.997	260.607	255.226	0.979
34.005	260.460	255.032	0.979
34.995	14.941	15.143	1.014
35.005	15.023	15.143	1.008
35.976	4.489	4.070	0.907
36.984	7761.979	7686.283	0.990
37.028	7762.465	7686.858	0.990
41.002	322.314	320.012	0.993
41.026	322.283	319.948	0.993
41.039	322.308	319.981	0.993
42.034	99.284	99.265	1.000
43.018	689.934	683.060	0.990
43.054	688.100	681.482	0.990
43.989	36.322	35.639	0.981
44.001	36.240	35.542	0.981
44.062	36.027	35.575	0.987
44.997	287.038	280.874	0.979
45.033	286.767	280.778	0.979
45.992	32.011	31.577	0.986
46.021	31.946	31.512	0.986
47.013	85.791	85.934	1.002
47.037	85.685	85.740	1.001
47.049	85.742	85.837	1.001
47.060	85.750	85.773	1.000
47.984	2.650	2.260	0.853
49.011	2.634	2.486	0.944
49.992	6.382	6.392	1.002
51.000	3.167	3.100	0.979
52.012	0.960	0.839	0.874
52.018	0.960	0.839	0.874
53.026	6.243	6.780	1.086
53.939	1.624	1.840	1.133
54.046	1.575	1.840	1.168
54.947	79.821	76.370	0.957
57.033	167.912	156.341	0.931
57.070	167.839	156.406	0.932
59.049	441.275	430.331	0.975
59.086	440.816	430.009	0.975
61.028	1036.288	1027.392	0.991
61.065	1035.848	1027.235	0.992
62.995	67.597	65.166	0.964
63.026	67.548	65.101	0.964
64.003	2.117	2.422	1.144
65.020	4.537	4.844	1.068
68.049	5.284	4.972	0.941
69.033	63.138	64.074	1.015
69.070	63.106	64.171	1.017
71.049	40.093	39.897	0.995
71.086	40.118	39.962	0.996
73.065	221.418	215.812	0.975
75.044	152.937	148.813	0.973
75.068	152.838	148.717	0.973
77.060	26.480	25.860	0.977
78.046	3.848	4.037	1.049
79.054	26.371	25.792	0.978
80.049	3.126	2.971	0.950
81.070	70.395	68.687	0.976
82.078	5.866	6.102	1.040
82.989	45.079	44.127	0.979
83.010	45.095	44.127	0.979
83.049	45.128	44.224	0.980
83.086	45.095	44.192	0.980
83.911	6.211	7.201	1.159
84.081	6.646	7.782	1.171
84.919	175.608	170.919	0.973
85.065	179.064	174.505	0.975
85.101	178.810	174.376	0.975
86.036	13.527	13.625	1.007
86.060	13.535	13.560	1.002
86.096	13.469	13.496	1.002
87.044	13.190	12.301	0.933
87.080	13.125	12.236	0.932
88.112	3.758	3.972	1.057
89.023	308.535	306.847	0.995
89.042	308.469	306.783	0.995
89.060	308.428	306.751	0.995
89.096	308.322	306.622	0.994
90.055	15.477	16.398	1.059
91.039	71.255	71.405	1.002
91.050	71.296	71.502	1.003
91.058	71.238	71.535	1.004
92.062	16.010	16.042	1.002
93.033	286.586	282.238	0.985
93.070	286.496	282.238	0.985
94.041	24.015	23.692	0.987
95.049	26.151	25.987	0.994
95.086	26.102	25.987	0.996
96.057	3.397	2.777	0.818
97.040	19.007	17.335	0.912
97.065	19.016	17.335	0.912
97.101	19.008	17.335	0.912
97.967	2.953	2.647	0.896
98.975	27.822	27.632	0.993
99.080	27.781	27.697	0.997
99.092	27.765	27.633	0.995
99.104	27.773	27.633	0.995
99.117	27.732	27.536	0.993
101.060	16.938	16.753	0.989
101.096	16.872	16.786	0.995
102.025	3.495	3.325	0.951
102.068	3.528	3.390	0.961
102.104	3.561	3.390	0.952
102.128	3.544	3.358	0.947
103.032	16.865	17.076	1.013
103.042	16.873	17.109	1.014
103.075	16.865	17.044	1.011
103.112	16.832	16.915	1.005
103.123	16.775	16.915	1.008
104.047	2.092	1.776	0.849
104.049	2.092	1.776	0.849
104.062	2.092	1.776	0.849
105.037	32.087	31.277	0.975
105.057	32.095	31.277	0.975
105.070	32.079	31.277	0.975
106.078	7.703	7.038	0.914
107.049	155.063	152.949	0.986
107.086	155.022	152.949	0.987
108.057	15.527	14.623	0.942
108.081	15.544	14.623	0.941
108.093	15.527	14.558	0.938
109.065	45.248	45.576	1.007
109.076	45.215	45.511	1.007
109.089	45.199	45.479	1.006
109.101	45.207	45.479	1.006
110.060	4.890	4.876	0.997
110.073	4.873	4.876	1.001
110.084	4.865	4.876	1.002
110.109	4.873	4.876	1.001
111.080	9.409	9.492	1.009
111.092	9.401	9.459	1.006
111.104	9.393	9.492	1.011
111.117	9.376	9.459	1.009
112.007	2.034	2.389	1.174
112.052	2.108	2.454	1.164
112.088	2.092	2.454	1.173
112.112	2.067	2.486	1.203
113.015	7.892	8.072	1.023
113.060	7.859	8.007	1.019
113.096	7.859	7.975	1.015
113.107	7.859	8.007	1.019
114.091	5.472	5.651	1.033
114.128	5.431	5.651	1.040
115.075	8.090	8.202	1.014
115.112	8.073	8.170	1.012
115.123	8.057	8.137	1.010
116.143	1.534	1.291	0.842
117.070	42.577	42.383	0.995
117.078	42.544	42.351	0.995
117.091	42.495	42.318	0.996
117.102	42.397	42.286	0.997
117.127	42.175	42.028	0.997
118.065	3.134	3.132	0.999
118.078	3.134	3.132	0.999
118.081	3.134	3.132	0.999
118.086	3.134	3.132	0.999
119.060	7.909	7.491	0.947
119.086	7.868	7.491	0.952
120.081	0.976	1.000	1.025
121.052	14.961	14.364	0.960
121.065	14.953	14.332	0.958
121.089	14.879	14.235	0.957
121.101	14.855	14.203	0.956
122.060	2.289	2.195	0.959
122.084	2.289	2.195	0.959
122.096	2.297	2.195	0.956
123.092	10.633	11.365	1.069
124.039	1.969	1.872	0.951
124.057	1.985	1.872	0.943
125.042	7.424	7.135	0.961
125.060	7.449	7.167	0.962
125.071	7.466	7.167	0.960
125.084	7.457	7.135	0.957
125.096	7.449	7.135	0.958
125.107	7.466	7.135	0.956
125.120	7.449	7.103	0.953
127.112	15.003	14.075	0.938
127.136	14.987	14.011	0.935
127.903	2.231	1.969	0.883
128.120	2.313	2.131	0.921
128.143	2.305	2.131	0.924
128.911	7.064	7.038	0.996
129.045	7.088	7.006	0.988
129.070	7.097	7.071	0.996
129.091	7.097	7.039	0.992
129.127	7.097	7.039	0.992
129.139	7.097	7.039	0.992
129.151	7.064	7.039	0.996
131.060	5.349	5.392	1.008
131.107	5.333	5.392	1.011
131.143	5.341	5.360	1.004
131.154	5.317	5.328	1.002
132.066	0.984	0.904	0.918
132.102	0.984	0.968	0.984
133.065	3.889	3.681	0.947
133.101	3.676	3.423	0.931
135.080	5.694	5.393	0.947
135.117	5.678	5.360	0.944
137.047	38.954	38.962	1.000
137.060	38.962	38.995	1.001
137.060	38.962	38.995	1.001
137.071	38.937	39.027	1.002
137.132	38.937	39.092	1.004
139.148	6.038	6.812	1.128
144.175	1.501	1.388	0.925
145.076	12.272	11.557	0.942
145.122	12.239	11.493	0.939
145.962	2.075	2.163	1.042
145.968	2.075	2.195	1.058
146.970	3.027	2.906	0.960
146.976	3.044	2.938	0.965
148.088	0.878	0.775	0.883
148.125	0.837	0.775	0.926
149.096	24.855	25.438	1.023
151.075	5.686	5.651	0.994
152.120	1.099	1.162	1.057
153.055	5.218	4.811	0.922
153.070	5.218	4.843	0.928
153.127	5.194	4.843	0.933
153.151	5.177	4.843	0.936
153.980	1.074	1.130	1.052
155.086	4.873	5.166	1.060
155.107	4.898	5.231	1.068
155.142	4.890	5.231	1.070
157.159	3.364	3.196	0.950
159.174	5.004	5.134	1.026
161.132	1.714	1.582	0.923
162.128	0.623	0.645	1.036
163.063	3.331	3.519	1.056
163.075	3.331	3.519	1.056
163.099	3.331	3.519	1.056
163.123	3.339	3.487	1.044
163.136	3.331	3.487	1.047
163.148	3.331	3.519	1.056
165.091	1.731	1.743	1.007
165.985	0.656	0.613	0.935
166.062	0.664	0.678	1.020
166.078	0.689	0.678	0.984
166.135	0.681	0.645	0.948
167.070	2.223	2.066	0.929
167.086	2.231	2.066	0.926
174.140	3.569	3.326	0.932
175.148	0.820	0.710	0.866
178.062	0.459	0.549	1.195
178.123	0.443	0.484	1.093
179.086	0.771	0.807	1.047
179.107	0.771	0.807	1.047
179.128	0.763	0.807	1.058
179.929	1.320	1.485	1.125
180.081	1.312	1.420	1.082
180.093	1.304	1.420	1.089
180.151	1.329	1.453	1.093
180.937	18.891	19.077	1.010
181.076	18.817	19.013	1.010
181.101	18.825	19.045	1.012
181.159	18.612	18.755	1.008
181.170	18.538	18.690	1.008
182.109	2.502	2.260	0.903
183.047	19.261	19.854	1.031
183.080	19.261	19.854	1.031
186.140	0.910	0.904	0.993
187.148	1.485	1.679	1.131
188.937	0.599	0.678	1.132
189.164	0.566	0.678	1.198
191.143	1.772	1.679	0.947
192.093	1.468	1.453	0.989
193.101	2.265	2.163	0.955
193.122	2.182	2.131	0.976
194.154	0.919	0.839	0.914
195.065	1.001	1.227	1.226
195.138	0.976	1.162	1.191
197.132	0.894	0.904	1.011
199.148	1.632	1.614	0.989
201.139	9.032	8.297	0.919
201.233	9.016	8.265	0.917
203.086	0.689	0.613	0.890
203.154	0.672	0.549	0.816
204.187	0.353	0.323	0.915
205.157	1.001	1.097	1.097
205.195	1.009	1.162	1.152
211.148	4.612	4.457	0.966
228.093	4.307	3.616	0.840
228.269	4.307	3.487	0.810
237.164	0.722	0.645	0.894
239.007	0.722	0.613	0.850
239.179	0.730	0.581	0.796
150.000	779.713	772.443	0.991
