m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	114.693	113.742	0.992
18.010	7473.597	7493.632	1.003
18.034	7488.061	7508.702	1.003
19.018	514704.562	512421.375	0.996
21.022	2010.704	2019.002	1.004
26.015	7.736	8.203	1.060
27.010	31.065	31.379	1.010
27.994	28.970	28.892	0.997
28.006	29.012	28.924	0.997
28.018	29.070	29.021	0.998
28.031	29.094	29.086	1.000
29.002	4798.164	4795.179	0.999
29.013	4798.464	4795.318	0.999
29.026	4798.228	4794.899	0.999
29.039	4797.766	4794.235	0.999
29.997	3557.946	3542.314	0.996
30.021	3557.680	3541.762	0.996
30.034	3557.028	3541.133	0.996
30.046	3555.460	3539.572	0.996
31.005	120.382	116.235	0.966
31.018	120.308	115.976	0.964
31.029	120.085	115.815	0.964
31.042	119.829	115.525	0.964
31.054	118.671	114.298	0.963
31.989	53795.461	52071.785	0.968
32.049	53736.336	52013.301	0.968
32.989	13854.278	13928.360	1.005
32.989	13853.973	13928.037	1.005
32.997	13865.645	13940.382	1.005
33.033	13870.626	13945.384	1.005
33.045	13869.088	13943.869	1.005
33.987	409.386	403.777	0.986
33.997	409.191	403.618	0.986
34.005	408.954	403.169	0.986
34.995	39.497	37.742	0.956
35.005	39.266	37.710	0.960
35.976	7.530	6.912	0.918
36.984	18460.506	19099.488	1.035
37.028	18468.020	19107.930	1.035
41.002	403.794	417.988	1.035
41.026	403.839	418.282	1.036
41.039	403.724	418.219	1.036
42.034	133.578	135.021	1.011
43.018	1319.534	1417.401	1.074
43.054	1315.930	1413.652	1.074
43.989	67.615	70.379	1.041
44.001	67.607	70.476	1.042
44.062	66.714	69.087	1.036
44.997	2558.010	2998.160	1.172
45.033	2556.902	2996.754	1.172
45.992	74.598	81.324	1.090
46.021	74.532	81.195	1.089
47.013	169.786	178.457	1.051
47.037	169.786	178.425	1.051
47.049	169.852	178.489	1.051
47.060	169.828	178.489	1.051
47.984	9.960	11.720	1.177
49.011	37.889	46.317	1.222
49.992	8.940	9.458	1.058
51.000	20.873	23.080	1.106
52.012	1.729	1.324	0.766
52.018	1.754	1.356	0.773
53.026	7.081	7.781	1.099
53.939	3.987	4.230	1.061
54.046	4.012	4.327	1.078
54.947	96.615	99.364	1.028
57.033	331.736	346.375	1.044
57.070	331.721	346.442	1.044
59.049	5511.107	5200.640	0.944
59.086	5507.719	5196.913	0.944
61.028	1826.896	2008.443	1.099
61.065	1826.213	2007.741	1.099
62.995	405.697	484.447	1.194
63.026	405.424	484.093	1.194
64.003	13.440	16.303	1.213
