m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	121.699	121.719	1.000
18.010	7533.349	7536.676	1.000
18.034	7542.646	7548.551	1.001
19.018	514721.750	514656.125	1.000
21.022	1973.222	1984.155	1.006
26.015	6.468	6.266	0.969
27.010	17.077	16.337	0.957
27.994	29.905	29.666	0.992
28.006	29.905	29.569	0.989
28.018	29.861	29.601	0.991
28.031	29.772	29.472	0.990
29.002	5058.019	5058.570	1.000
29.013	5058.149	5058.698	1.000
29.026	5057.773	5058.058	1.000
29.039	5056.662	5057.522	1.000
29.997	3688.670	3702.051	1.004
30.021	3688.362	3702.010	1.004
30.034	3687.350	3701.411	1.004
30.046	3684.892	3698.819	1.004
31.005	136.091	136.169	1.001
31.018	135.710	135.814	1.001
31.029	135.064	135.265	1.001
31.042	133.532	133.715	1.001
31.054	131.159	131.327	1.001
31.989	66181.625	66147.367	0.999
32.049	66098.758	66068.828	1.000
32.989	2848.724	2856.151	1.003
32.989	2848.485	2856.022	1.003
32.997	2849.700	2857.125	1.003
33.033	2848.998	2857.286	1.003
33.045	2848.051	2857.196	1.003
33.987	320.500	323.056	1.008
33.997	320.121	322.865	1.009
34.005	319.937	322.738	1.009
34.995	15.468	17.567	1.136
35.005	15.380	17.341	1.128
35.976	6.468	6.072	0.939
36.984	10354.572	10279.943	0.993
37.028	10356.351	10281.318	0.993
41.002	138.894	138.874	1.000
41.026	138.992	138.939	1.000
41.039	138.894	139.068	1.001
42.034	182.629	185.275	1.014
43.018	644.419	649.102	1.007
43.054	638.088	644.014	1.009
43.989	57.022	60.793	1.066
44.001	56.978	60.696	1.065
44.062	54.498	57.951	1.063
44.997	305.156	307.730	1.008
45.033	304.998	307.634	1.009
45.992	39.539	40.746	1.031
46.021	39.566	40.811	1.031
47.013	164.173	166.880	1.016
47.037	164.120	166.881	1.017
47.049	164.049	166.848	1.017
47.060	164.102	166.881	1.017
47.984	4.987	5.328	1.068
49.011	2.427	3.100	1.277
49.992	8.130	8.426	1.036
51.000	4.598	5.167	1.124
52.012	1.470	1.744	1.186
52.018	1.479	1.744	1.179
53.026	5.191	5.554	1.070
53.939	2.002	2.163	1.081
54.046	2.019	2.131	1.055
54.947	49.292	48.382	0.982
57.033	31.466	30.925	0.983
57.070	31.404	30.732	0.979
59.049	11963.142	12147.354	1.015
59.086	11955.648	12139.990	1.015
61.028	704.772	708.379	1.005
61.065	704.209	707.769	1.005
62.995	7.990	7.653	0.958
63.026	8.035	7.815	0.973
64.003	2.171	2.293	1.056
65.020	3.119	2.906	0.932
68.049	1.585	1.775	1.120
69.033	45.326	45.194	0.997
69.070	45.291	45.227	0.999
71.049	14.657	15.109	1.031
71.086	14.649	15.109	1.031
73.065	36.476	37.798	1.036
75.044	39.873	39.702	0.996
75.068	39.882	39.735	0.996
77.060	62.703	60.434	0.964
78.046	10.267	9.139	0.890
79.054	20.518	20.498	0.999
80.049	2.480	2.647	1.068
81.070	24.325	24.564	1.010
82.078	3.393	3.390	0.999
82.989	32.236	31.347	0.972
83.010	32.254	31.412	0.974
83.049	32.210	31.379	0.974
83.086	32.192	31.347	0.974
83.911	6.537	6.458	0.988
84.081	6.998	6.878	0.983
84.919	12.046	11.559	0.960
85.065	12.781	12.141	0.950
85.101	12.764	12.173	0.954
86.036	6.564	7.007	1.068
86.060	6.564	7.007	1.068
86.096	6.511	6.943	1.066
87.044	11.646	10.717	0.920
87.080	11.655	10.782	0.925
88.112	4.181	3.972	0.950
89.023	66.784	65.749	0.985
89.042	66.855	65.846	0.985
89.060	66.837	65.782	0.984
89.096	66.784	65.782	0.985
90.055	5.005	4.327	0.865
91.039	84.949	84.676	0.997
91.050	85.215	84.934	0.997
91.058	85.277	85.128	0.998
92.062	57.956	58.391	1.008
93.033	1412.079	1417.039	1.004
93.070	1411.941	1417.075	1.004
94.041	111.007	111.153	1.001
95.049	25.550	25.567	1.001
95.086	25.488	25.567	1.003
96.057	3.543	3.649	1.030
97.040	12.834	12.495	0.974
97.065	12.825	12.495	0.974
97.101	12.816	12.560	0.980
97.967	2.941	3.197	1.087
98.975	9.256	9.137	0.987
99.080	9.283	9.234	0.995
99.092	9.292	9.234	0.994
99.104	9.318	9.267	0.994
99.117	9.301	9.170	0.986
101.060	18.731	18.014	0.962
101.096	18.722	17.949	0.959
102.025	3.268	2.809	0.859
102.068	3.295	2.809	0.852
102.104	3.251	2.744	0.844
102.128	3.277	2.744	0.837
103.032	14.922	14.816	0.993
103.042	14.922	14.816	0.993
103.075	14.896	14.784	0.992
103.112	14.851	14.784	0.995
103.123	14.816	14.752	0.996
104.047	2.055	2.195	1.068
104.049	2.055	2.195	1.068
104.062	2.090	2.260	1.081
105.037	32.278	31.829	0.986
105.057	32.287	31.829	0.986
105.070	32.314	31.893	0.987
106.078	4.181	4.262	1.019
107.049	24.903	24.664	0.990
107.086	24.903	24.664	0.990
108.057	4.243	4.391	1.035
108.081	4.252	4.423	1.040
108.093	4.243	4.423	1.043
109.065	19.191	19.305	1.006
109.076	19.209	19.273	1.003
109.089	19.227	19.305	1.004
109.101	19.218	19.273	1.003
110.060	2.666	2.324	0.872
110.073	2.666	2.324	0.872
110.084	2.666	2.324	0.872
110.109	2.675	2.324	0.869
111.080	6.307	6.554	1.039
111.092	6.316	6.586	1.043
111.104	6.307	6.522	1.034
111.117	6.307	6.489	1.029
112.007	1.806	2.001	1.108
112.052	1.806	2.001	1.108
112.088	1.789	1.969	1.101
112.112	1.789	1.969	1.101
113.015	5.784	5.780	0.999
113.060	5.749	5.651	0.983
113.096	5.758	5.651	0.981
113.107	5.758	5.683	0.987
