m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	126.294	123.853	0.981
18.010	7751.542	7599.745	0.980
18.034	7762.852	7610.995	0.980
19.018	516082.625	514781.187	0.997
21.022	1955.225	1946.067	0.995
26.015	6.190	6.266	1.012
27.010	24.185	24.342	1.006
27.994	30.219	30.536	1.011
28.006	30.302	30.569	1.009
28.018	30.227	30.504	1.009
28.031	30.285	30.439	1.005
29.002	5004.847	5006.738	1.000
29.013	5005.177	5007.109	1.000
29.026	5004.787	5006.532	1.000
29.039	5003.835	5005.556	1.000
29.997	3650.264	3664.489	1.004
30.021	3649.857	3664.173	1.004
30.034	3648.991	3663.319	1.004
30.046	3646.169	3660.723	1.004
31.005	157.661	166.891	1.059
31.018	157.596	167.021	1.060
31.029	157.166	166.698	1.061
31.042	156.223	165.569	1.060
31.054	154.263	162.987	1.057
31.989	64276.203	64545.156	1.004
32.049	64199.246	64472.762	1.004
32.989	10986.517	12708.120	1.157
32.989	10986.145	12707.539	1.157
32.997	10991.742	12713.738	1.157
33.033	10992.726	12714.565	1.157
33.045	10991.107	12712.152	1.157
33.987	414.145	433.100	1.046
33.997	413.975	432.749	1.045
34.005	413.937	432.721	1.045
34.995	33.625	39.938	1.188
35.005	33.493	39.841	1.190
35.976	7.522	7.332	0.975
36.984	10439.206	10469.677	1.003
37.028	10441.405	10472.298	1.003
41.002	257.365	278.650	1.083
41.026	257.473	278.941	1.083
41.039	257.292	278.683	1.083
42.034	157.234	154.760	0.984
43.018	1080.964	1100.328	1.018
43.054	1076.060	1096.059	1.019
43.989	64.356	63.532	0.987
44.001	64.274	63.371	0.986
44.062	62.718	61.756	0.985
44.997	596.374	526.035	0.882
45.033	596.095	525.714	0.882
45.992	55.287	47.719	0.863
46.021	55.271	47.655	0.862
47.013	169.291	163.065	0.963
47.037	169.250	162.936	0.963
47.049	169.225	162.936	0.963
47.060	169.151	162.807	0.962
47.984	5.079	5.425	1.068
49.011	3.466	3.422	0.987
49.992	8.370	8.296	0.991
51.000	11.323	11.557	1.021
52.012	1.613	1.291	0.801
52.018	1.596	1.259	0.789
53.026	7.411	7.748	1.045
53.939	3.400	3.455	1.016
54.046	3.466	3.487	1.006
54.947	67.246	66.072	0.983
57.033	158.598	198.797	1.253
57.070	158.441	198.700	1.254
59.049	9020.966	8875.451	0.984
59.086	9015.040	8869.985	0.984
61.028	1415.880	1458.210	1.030
61.065	1415.334	1457.702	1.030
62.995	19.734	21.403	1.085
63.026	19.726	21.274	1.078
64.003	2.110	2.293	1.087
65.020	3.252	3.230	0.993
68.049	2.084	1.743	0.836
69.033	52.459	54.427	1.037
69.070	52.468	54.427	1.037
71.049	28.237	30.862	1.093
71.086	28.278	30.797	1.089
73.065	91.671	107.081	1.168
75.044	220.190	224.152	1.018
75.068	220.099	224.119	1.018
77.060	64.713	65.504	1.012
78.046	10.424	11.625	1.115
79.054	22.305	21.854	0.980
80.049	2.705	2.389	0.883
81.070	33.217	25.760	0.775
82.078	4.169	3.229	0.775
82.989	39.745	40.682	1.024
83.010	39.762	40.714	1.024
83.049	39.737	40.714	1.025
83.086	39.588	40.649	1.027
83.911	6.362	5.909	0.929
84.081	7.222	7.136	0.988
84.919	28.677	29.641	1.034
85.065	31.839	33.259	1.045
85.101	31.715	33.292	1.050
86.036	7.288	6.684	0.917
86.060	7.297	6.684	0.916
86.096	7.280	6.684	0.918
87.044	18.311	18.984	1.037
87.080	18.311	18.984	1.037
88.112	6.634	5.651	0.852
89.023	112.742	117.870	1.045
89.042	112.750	117.902	1.046
89.060	112.750	117.870	1.045
89.096	112.676	117.805	1.046
90.055	7.338	6.716	0.915
91.039	86.851	87.293	1.005
91.050	87.207	87.616	1.005
91.058	87.273	87.680	1.005
92.062	57.085	57.099	1.000
93.033	1339.410	1332.568	0.995
93.070	1339.497	1332.476	0.995
94.041	103.938	101.979	0.981
95.049	28.849	25.890	0.897
95.086	28.783	25.890	0.900
96.057	3.847	3.972	1.033
