m/z
m17.026 ((H3N)+) 
m18.010 ((H2O)+) 
m18.034 ((H3N)H+) 
m19.018 ((H2O)H+) 
m21.022 (H3O 18+) 
m26.015 ((C2H2)+) 
m27.010 ((CHN)+) 
m27.994 ((CO)+) 
m28.006 ((N2)+) 
m28.018 ((CHN)H+) 
m28.031 ((C2H4)+) 
m29.002 ((CHO)+) 
m29.013 ((N2)H+) 
m29.026 ((CH3N)+) 
m29.039 ((C2H5)+) 
m29.997 (NO+) 
m30.021 ((H2N2)+) 
m30.034 ((CH3N)H+) 
m30.046 ((C2H5)H+) 
m31.005 ((NO)H+) 
m31.018 ((CH2O)H+) 
m31.029 ((H2N2)H+) 
m31.042 ((CH5N)+) 
m31.054 ((C2H6)H+) 
m31.989 (O2+) 
m32.049 ((CH5N)H+) 
m32.989 ((H2P)+) 
m32.989 (O2 17+) 
m32.997 ((O2)H+) 
m33.033 ((CH4O)H+) 
m33.045 ((H4N2)H+) 
m33.987 ((H2S)+) 
m33.997 ((H2P)H+) 
m34.005 ((H2O2)+) 
m34.995 ((H2S)H+) 
m35.005 ((H3P)H+) 
m35.976 ((HCl)+) 
m36.984 ((HCl)H+) 
m37.028 (cluster h2oH+) 
m41.002 ((C2O)H+) 
m41.026 ((C2H3N)+) 
m41.039 ((C3H5)+) 
m42.034 ((C2H3N)H+) 
m43.018 ((C2H3O)+) 
m43.054 ((C3H7)+) 
m43.989 ((CO2)+) 
m44.001 ((N2O)+) 
m44.062 ((C3H8)+) 
m44.997 ((CO2)H+) 
m45.033 ((C2H5O)+) 
m45.992 ((NO2)+) 
m46.021 ((C2H3F)+) 
m47.013 ((CH2O2)H+) 
m47.037 ((CH5NO)+) 
m47.049 ((C2H6O)H+) 
m47.060 ((CH6N2)H+) 
m47.984 ((O3)+) 
m49.011 ((CH4S)H+) 
m49.992 ((CH3Cl)+) 
m51.000 ((CH3Cl)H+) 
m52.012 ((CH2F2)+) 
m52.018 ((C3HN)H+) 
m53.026 ((C3H3N)+) 
m53.939 ((Fe)+) 
m54.046 ((C4H6)+) 
m54.947 ((Fe)H+) 
m57.033 ((C3H4O)H+) 
m57.070 ((C4H8)H+) 
m59.049 ((C3H6O)H+) 
m59.086 ((C4H10)H+) 
m61.028 ((C2H4O2)H+) 
m61.065 ((C3H8O)H+) 
m62.995 ((HNO3)+) 
m63.026 ((C2H6S)H+) 
m64.003 ((HNO3)H+) 
