"m.z"	"variable"	"d0_log10FC"	"d6_log10FC"	"d12_log10FC"	"ES"	"replication"
17.026	"ES0_1"	0.00461017113496156	0.00695270584593353	0.00269961836237533	"ES0"	"1"
18.01	"ES0_1"	-0.00456286171298013	0.000612121193079537	-0.00254922756883806	"ES0"	"1"
18.034	"ES0_1"	-0.00348717640049108	0.000355067384418557	-0.00261656647695517	"ES0"	"1"
19.018	"ES0_1"	0.0139576487529113	0	-0.00137173930217875	"ES0"	"1"
21.022	"ES0_1"	-0.0515122888392497	0	0.00227621006003527	"ES0"	"1"
26.015	"ES0_1"	0.011751502110813	-0.0110179093647136	0.0114742884040801	"ES0"	"1"
27.01	"ES0_1"	0.064411385587199	-0.137974942200682	-0.0345994134034377	"ES0"	"1"
27.994	"ES0_1"	-0.025870463109793	0	0.0104663542099773	"ES0"	"1"
28.006	"ES0_1"	-0.0272979232717548	0.000454862851154368	0.00798329838282925	"ES0"	"1"
28.018	"ES0_1"	-0.0211169249005781	0	0.00614374781718617	"ES0"	"1"
28.031	"ES0_1"	-0.0193474984189465	0	0.00491186972129083	"ES0"	"1"
29.002	"ES0_1"	-0.109602684648623	0.00235901188749303	0.00176694042304655	"ES0"	"1"
29.013	"ES0_1"	-0.109550641856454	0.00234802297000234	0.00176712101715605	"ES0"	"1"
29.026	"ES0_1"	-0.109517157720494	0.00229309016257841	0.00179818487061744	"ES0"	"1"
29.039	"ES0_1"	-0.109425327247637	0.0022865607639833	0.00180028754956994	"ES0"	"1"
29.997	"ES0_1"	-0.0270599642027672	0.0025505555312235	0.00338282247949443	"ES0"	"1"
30.021	"ES0_1"	-0.0270271295622688	0.00255447206037838	0.0034483259073055	"ES0"	"1"
30.034	"ES0_1"	-0.026989219265262	0.00254266731750478	0.00341693054712601	"ES0"	"1"
30.046	"ES0_1"	-0.0268146402005904	0.00249054040564548	0.00332190712638178	"ES0"	"1"
31.005	"ES0_1"	0.367901241790578	-0.0166637606546747	0	"ES0"	"1"
31.018	"ES0_1"	0.369991292821623	-0.0159197105860102	0	"ES0"	"1"
31.029	"ES0_1"	0.371356181939156	-0.0161132034437483	0	"ES0"	"1"
31.042	"ES0_1"	0.373587802696256	-0.0180114389025481	0	"ES0"	"1"
31.054	"ES0_1"	0.373711081707981	-0.0205916378937722	0	"ES0"	"1"
31.989	"ES0_1"	-0.023549862773061	0.00599305006596476	0.00786711677055184	"ES0"	"1"
32.049	"ES0_1"	-0.0232368133880042	0.00598246513133766	0.00767217030688156	"ES0"	"1"
32.989	"ES0_1"	0.592131438949042	-0.125211133520433	0	"ES0"	"1"
32.989	"ES0_1"	0.592131438949042	-0.125217720700371	0	"ES0"	"1"
32.997	"ES0_1"	0.593129403148792	-0.125269649876098	0	"ES0"	"1"
33.033	"ES0_1"	0.593586367332396	-0.125346195020621	0	"ES0"	"1"
33.045	"ES0_1"	0.593604611080305	-0.125384242164462	0	"ES0"	"1"
33.987	"ES0_1"	0.209139526061128	-0.0537895529319026	0.00281650576072681	"ES0"	"1"
33.997	"ES0_1"	0.209950994517284	-0.0542019037404733	0.00258575589959283	"ES0"	"1"
34.005	"ES0_1"	0.210595951364091	-0.0539189698631249	0.0024873433862436	"ES0"	"1"
34.995	"ES0_1"	0.431978860426937	-0.0857322381569791	-0.0167433005512044	"ES0"	"1"
35.005	"ES0_1"	0.436872355316415	-0.0833200758216277	-0.0113357729697393	"ES0"	"1"
35.976	"ES0_1"	0.127839058732112	-0.0539079575704354	0.00677562030170706	"ES0"	"1"
36.984	"ES0_1"	-0.0578270430087152	-0.0229314916543739	-0.0108217406368416	"ES0"	"1"
37.028	"ES0_1"	-0.0572981636919419	-0.0228996617403555	-0.0108465063803245	"ES0"	"1"
41.002	"ES0_1"	0.10828472245205	-0.181561518920217	-0.0665981177400329	"ES0"	"1"
41.026	"ES0_1"	0.108557090448013	-0.181111290907837	-0.0666355886488799	"ES0"	"1"
41.039	"ES0_1"	0.108584118682835	-0.181414657195508	-0.0663885368083612	"ES0"	"1"
42.034	"ES0_1"	0.10164230660951	0.0331459138725921	0.0385006850666844	"ES0"	"1"
43.018	"ES0_1"	0.810529926727847	-0.00147601816291873	-0.0548252191987556	"ES0"	"1"
43.054	"ES0_1"	0.8114021676148	-0.00131429451040699	-0.0548153191269826	"ES0"	"1"
43.989	"ES0_1"	0.534037000353802	0	-0.0246592270528442	"ES0"	"1"
44.001	"ES0_1"	0.534734204327596	0	-0.0249206060967614	"ES0"	"1"
44.062	"ES0_1"	0.540198845012154	0	-0.0280886874484464	"ES0"	"1"
44.997	"ES0_1"	0.221216752585404	-0.109499607369525	0.0491516584591776	"ES0"	"1"
45.033	"ES0_1"	0.221346059911955	-0.109516974356904	0.0492500646732314	"ES0"	"1"
45.992	"ES0_1"	0.0632044189970317	-0.022315072582835	0.0352836995746748	"ES0"	"1"
46.021	"ES0_1"	0.0625912629075828	-0.022067194015939	0.0369794003788393	"ES0"	"1"
47.013	"ES0_1"	0	0	-0.0242423311646872	"ES0"	"1"
47.037	"ES0_1"	0	-8.52853813734074e-05	-0.0239383700862764	"ES0"	"1"
47.049	"ES0_1"	0	-0.000173218393112416	-0.0238559324252471	"ES0"	"1"
47.06	"ES0_1"	0	-0.000429262019976701	-0.0235540829435458	"ES0"	"1"
47.984	"ES0_1"	0.0511525224473813	0	-0.00351841175350764	"ES0"	"1"
49.011	"ES0_1"	0.0171284723966999	-0.0122626582730495	0.00920299842299633	"ES0"	"1"
49.992	"ES0_1"	0.122138678390028	0	0	"ES0"	"1"
51	"ES0_1"	0.535556701260854	-0.132694783272268	-0.00344806924759739	"ES0"	"1"
52.012	"ES0_1"	0.0768145127685179	-0.12232376727468	-0.089258136213492	"ES0"	"1"
52.018	"ES0_1"	0.0768145127685179	-0.14941723133472	-0.072503612109625	"ES0"	"1"
