"m.z"	"variable"	"d0_value"	"d6_value"	"d12_value"	"ES"	"replication"	"d0_log10value"	"d6_log10value"	"d12_log10value"
17.026	"ES0_1"	134.575	123.853	104.247	"ES0"	"1"	2.13217961310749	2.09639898215227	2.02220972539118
18.01	"ES0_1"	7908.244	7599.745	6259.136	"ES0"	"1"	3.8981349737228	3.88085616248235	3.79658376825962
18.034	"ES0_1"	7938.755	7610.995	6262.563	"ES0"	"1"	3.89980710144603	3.88149849434526	3.79682144999034
19.018	"ES0_1"	527177.062	514781.187	544524.5	"ES0"	"1"	5.72195732922142	5.71162351060715	5.73601822247559
21.022	"ES0_1"	1838.543	1946.067	1603.648	"ES0"	"1"	3.26470994408041	3.28938089616803	3.20537977915611
26.015	"ES0_1"	7.267	6.266	4.909	"ES0"	"1"	0.917347937627772	0.861295393526696	0.771513989979666
27.01	"ES0_1"	59.265	24.342	26.083	"ES0"	"1"	1.78006516089736	1.4038408865809	1.4326967697355
27.994	"ES0_1"	31.053	30.536	23.014	"ES0"	"1"	1.50586868354195	1.49880660693537	1.38046450629772
28.006	"ES0_1"	30.891	30.569	22.949	"ES0"	"1"	1.50366813754565	1.49926082511805	1.37928738399071
28.018	"ES0_1"	31.149	30.504	22.852	"ES0"	"1"	1.50716746866813	1.49836569879404	1.3775248006737
28.031	"ES0_1"	31.214	30.439	22.852	"ES0"	"1"	1.50804465434688	1.49746872370997	1.3775248006737
29.002	"ES0_1"	4960.673	5006.738	4071.655	"ES0"	"1"	3.69562813861914	3.69964159893025	3.6098776219833
29.013	"ES0_1"	4961.67	5007.109	4071.486	"ES0"	"1"	3.69571539711069	3.69967377259522	3.60985960000739
29.026	"ES0_1"	4962.187	5006.532	4071.479	"ES0"	"1"	3.69576063859409	3.69962373327845	3.60985885351888
29.039	"ES0_1"	4962.236	5005.556	4070.843	"ES0"	"1"	3.69576492622713	3.69953907825731	3.60979102435126
29.997	"ES0_1"	3583.919	3664.489	2931.829	"ES0"	"1"	3.55447934738166	3.56413192054202	3.46728674197088
30.021	"ES0_1"	3583.66	3664.173	2931.736	"ES0"	"1"	3.55444796973149	3.56409447861484	3.46727297027563
30.034	"ES0_1"	3583.518	3663.319	2930.877	"ES0"	"1"	3.55443076557881	3.56399327446885	3.46714574654829
30.046	"ES0_1"	3582.365	3660.723	2928.819	"ES0"	"1"	3.55429104746624	3.56368548793904	3.46684079109496
31.005	"ES0_1"	226.105	166.891	142.392	"ES0"	"1"	2.35622669586001	2.22502741588135	2.15652492223295
31.018	"ES0_1"	226.816	167.021	142.328	"ES0"	"1"	2.35758422223515	2.22536356514346	2.15633104076459
31.029	"ES0_1"	226.848	166.698	142.231	"ES0"	"1"	2.35764522079305	2.22452788315383	2.1560370240605
31.042	"ES0_1"	226.719	165.569	141.844	"ES0"	"1"	2.35739926799286	2.22159417845332	2.15486200305536
31.054	"ES0_1"	226.171	162.987	141.037	"ES0"	"1"	2.3563528897862	2.21480942090109	2.15240149088102
31.989	"ES0_1"	62651.676	64545.156	51999.316	"ES0"	"1"	4.79693962516599	4.80987038327636	4.71600598280094
32.049	"ES0_1"	62616.289	64472.762	51882.109	"ES0"	"1"	4.79669426101601	4.80938301173699	4.71502599249085
32.989	"ES0_1"	25144.932	12708.12	16163.309	"ES0"	"1"	4.40046773679354	4.10411548034353	4.20855714390574
32.989	"ES0_1"	25144.932	12707.539	16163.115	"ES0"	"1"	4.40046773679354	4.10409562602933	4.20855193158054
32.997	"ES0_1"	25211.631	12713.738	16164.115	"ES0"	"1"	4.4016181677376	4.10430741552812	4.20857879856637
33.033	"ES0_1"	25242.264	12714.565	16161.961	"ES0"	"1"	4.40214550927019	4.10433566226483	4.20852092501303
33.045	"ES0_1"	25240.496	12712.152	16158.929	"ES0"	"1"	4.40211509087683	4.10425323949942	4.20843944833362
33.987	"ES0_1"	590.912	433.1	426.963	"ES0"	"1"	2.77225714463642	2.6375897858387	2.63140622324112
33.997	"ES0_1"	591.602	432.749	426.87	"ES0"	"1"	2.77276311286711	2.63723848654249	2.63131183710042
34.005	"ES0_1"	592.223	432.721	426.549	"ES0"	"1"	2.77321798082472	2.63721045042482	2.63098589499431
34.995	"ES0_1"	65.922	39.938	45.973	"ES0"	"1"	1.82556891160872	1.61212662166355	1.67184829792733
35.005	"ES0_1"	66.051	39.841	46.36	"ES0"	"1"	1.8264052593128	1.61109636733174	1.67541169371486
35.976	"ES0_1"	9.365	7.332	6.266	"ES0"	"1"	1.01556930642988	0.920749261275708	0.861295393526696
