"m.z","ES0_1","ES0_2","ES0_3","ES0.5_1","ES0.5_2","ES0.5_3","ES2.5_1","ES2.5_2","ES2.5_3","ES5_1","ES5_2","ES5_3","ES8_1","ES8_2","ES8_3","ES0","ES0.5","ES2.5","ES5","ES8"
"m17.026 ((H3N)+) ",134.575,133.154,129.7,119.492,117.325,116.876,113.903,113.808,111.194,109.799,103.86,103.375,105.445,106.119,105.347,223.549,117.005,114.066,108.768,106.055
"m18.010 ((H2O)+) ",7908.244,8219.614,7991.769,7535.194,7529.969,7443.224,7214.794,7155.714,7127.735,7034.38,6989.661,7016.738,6939.355,6934.63,6988.812,15147.659,7547.089,7152.124,7016.414,6951.212
"m18.034 ((H3N)H+) ",7938.755,8228.565,8002.756,7548.14,7541.625,7455.969,7227.734,7166.604,7138.667,7045.99,7002.371,7028.375,6952.607,6947.665,7004.566,15151.748,7557.296,7167.86,7030.349,6965.562
"m19.018 ((H2O)H+) ",527177.062,509418.437,510503.656,510342,513210.156,514364.969,515758.062,515543.781,518732.156,518101.687,514917.719,521365.937,517531.844,521109.125,519566.656,492319,510504.781,515217.375,517065.906,518948.219
"m21.022 (H3O 18+) ",1838.543,2122.553,2070.075,2047.355,2017.25,2013.276,1988.991,1987.868,1986.975,1981.924,1978.723,1916.72,1965.86,1953.373,1938.27,2394.87,2070.819,2024.165,2003.611,1970.067
"m26.015 ((C2H2)+) ",7.267,6.912,7.073,6.104,6.686,7.235,6.589,7.073,6.879,6.718,5.814,6.46,6.201,6.072,7.201,7.687,7.041,6.04,6.039,6.394
"m27.010 ((CHN)+) ",59.265,46.065,51.096,45.224,58.106,58.457,42.417,49.225,48.873,42.157,42.706,68.693,42.673,47.61,52.777,34.349,31.799,35.896,36.381,38.446
"m27.994 ((CO)+) ",31.053,36.121,32.959,32.216,30.343,30.085,28.73,28.504,28.73,27.181,25.533,29.085,26.083,27.989,28.053,42.448,29.924,29.441,28.924,27.277
"m28.006 ((N2)+) ",30.891,36.476,32.895,32.41,30.343,30.149,28.794,28.697,28.924,27.084,25.177,29.053,26.115,28.182,28.279,42.415,29.763,29.408,28.827,27.406
"m28.018 ((CHN)H+) ",31.149,36.509,32.701,32.377,30.537,30.181,29.02,28.827,28.73,27.019,25.177,29.311,26.245,27.989,28.15,42.157,29.892,29.376,29.021,27.245
"m28.031 ((C2H4)+) ",31.214,36.735,32.636,32.571,30.408,30.052,28.988,28.73,28.795,26.923,25.242,29.473,26.665,27.892,28.279,42.06,29.989,29.247,28.956,27.18
"m29.002 ((CHO)+) ",4960.673,6866.058,6384.741,5717.042,5560.667,5461.277,5196.812,5151.365,5099.657,4976.475,4936.257,4851.851,4874.03,4796.196,4789.56,9832.213,5884.619,5330.936,5029.161,4892.391
"m29.013 ((N2)H+) ",4961.67,6865.991,6385.259,5717.764,5561.15,5461.868,5197.281,5151.835,5100.231,4977.287,4937.077,4852.22,4874.595,4796.314,4789.762,9832.344,5884.868,5331.309,5029.932,4892.735
"m29.026 ((CH3N)+) ",4962.187,6865.385,6385.432,5717.795,5561.303,5462.124,5197.266,5152.016,5100.247,4977.538,4937.251,4852.615,4874.677,4796.367,4789.667,9831.805,5884.652,5331.668,5030.46,4892.92
"m29.039 ((C2H5)+) ",4962.236,6864.072,6384.145,5716.991,5561.275,5461.515,5196.658,5151.504,5099.441,4976.752,4936.769,4852.012,4874.062,4795.622,4788.879,9830.316,5883.804,5331.327,5030.275,4892.504
"m29.997 (NO+) ",3583.919,3945.675,3814.329,3693.678,3627.728,3619.179,3566.892,3555.261,3542.642,3488.193,3466.101,3468.415,3479.469,3474.118,3420.987,4666.324,3750.886,3578.291,3509.665,3473.17
"m30.021 ((H2N2)+) ",3583.66,3945.21,3813.765,3693.304,3627.21,3618.995,3566.312,3555.135,3542.265,3487.774,3465.448,3467.909,3479.019,3473.828,3420.574,4665.187,3750.42,3578.472,3509.057,3472.951
"m30.034 ((CH3N)H+) ",3583.518,3944.497,3813.281,3692.982,3626.479,3618.175,3565.913,3554.112,3541.67,3487.573,3464.91,3467.435,3478.394,3473.271,3420.186,4664.433,3749.604,3578.136,3508.467,3472.943
"m30.046 ((C2H5)H+) ",3582.365,3940.968,3810.522,3690.769,3624.381,3616.496,3564.373,3552.226,3539.844,3486.011,3463.378,3465.581,3477.321,3471.94,3418.226,4660.724,3747.461,3576.22,3506.818,3471.475
"m31.005 ((NO)H+) ",226.105,90.431,96.919,83.225,90.881,91.527,88.878,87.552,88.524,77.414,82.257,207.672,76.351,84.425,82.547,94.696,63.529,63.565,62.111,65.662
"m31.018 ((CH2O)H+) ",226.816,90.689,96.757,83.129,90.978,91.818,88.943,87.391,88.75,77.575,82.322,207.64,76.415,84.264,82.547,94.438,63.336,63.694,62.499,65.598
"m31.029 ((H2N2)H+) ",226.848,90.56,96.467,83.096,91.01,91.721,88.685,87.423,88.492,77.64,82.322,207.543,76.06,83.909,82.386,94.083,63.432,63.63,62.305,65.501
"m31.042 ((CH5N)+) ",226.719,89.947,95.918,82.967,90.526,91.237,88.265,87.294,88.234,77.64,81.999,207.059,75.964,83.618,82.095,93.793,63.013,63.339,62.273,65.243
"m31.054 ((C2H6)H+) ",226.171,88.914,95.659,82.515,90.074,90.526,87.91,87.068,87.782,77.123,81.709,206.736,75.899,83.328,81.869,92.825,62.593,63.242,62.305,65.081
"m31.989 (O2+) ",62651.676,68586.477,66142.797,62914.387,61850.641,61399.648,60421.902,60119.379,59807.082,59053.926,58733.297,57085.797,58570.047,58041.422,57379.344,82170.07,64596.031,61311.926,59610.156,58485.238
"m32.049 ((CH5N)H+) ",62616.289,68484.242,66057.805,62846.543,61780.648,61333.301,60359.121,60055.715,59737.488,58989.977,58668.402,57023.074,58506.07,57972.941,57315.301,82012.664,64523.828,61248.633,59545.535,58420.047
"m32.989 ((H2P)+) ",25144.932,5111.866,6431.6,5958.543,8590.717,6938.294,7584.916,7058.493,7004.764,5449.488,6956.213,40294.605,5686.165,8016.625,8812.396,1601.975,1335.875,1275.159,1287.605,2123.955
"m32.989 (O2 17+) ",25144.932,5111.866,6431.6,5958.543,8590.717,6938.294,7584.916,7058.493,7004.764,5449.488,6956.213,40294.605,5686.165,8016.625,8812.396,1601.975,1335.875,1275.159,1287.605,2123.955
"m32.997 ((O2)H+) ",25211.631,5112.84,6433.859,5961.667,8596.556,6942.006,7590.874,7062.77,7009.08,5453.099,6961.399,40324.074,5690.906,8021.284,8818.222,1601.88,1336.349,1275.703,1288.374,2125.25
"m33.033 ((CH4O)H+) ",25242.264,5113.495,6434.902,5962.268,8597.111,6943.128,7592.482,7064.325,7010.059,5454.18,6962.25,40335.746,5693.667,8023.151,8820.131,1600.411,1335.182,1275.873,1287.01,2124.913
"m33.045 ((H4N2)H+) ",25240.496,5112.297,6434.181,5961.437,8596.002,6942.915,7591.627,7063.345,7009.262,5453.519,6961.642,40333.23,5693.12,8022.035,8819.424,1599.09,1334.655,1275.473,1286.542,2124.885
"m33.987 ((H2S)+) ",590.912,355.421,365.076,347.387,370.615,347.318,357.037,353.763,350.482,322.978,341.552,756.435,323.692,352.624,353.633,373.223,292.946,272.317,269.042,277.594
"m33.997 ((H2P)H+) ",591.602,355.165,364.82,347.422,370.263,347.159,357.04,353.766,350.712,322.819,341.717,756.708,323.855,352.788,353.442,372.805,292.753,272.705,269.074,277.626
"m34.005 ((H2O2)+) ",592.223,355.168,364.661,347.296,370.202,346.967,357.141,353.77,350.682,322.983,341.753,756.397,323.891,353.115,353.736,372.258,292.561,272.64,269.301,277.53
"m34.995 ((H2S)H+) ",65.922,19.601,24.381,22.442,26.572,24.056,25.798,24.444,23.215,19.502,22.958,104.484,22.861,25.216,28.09,14.757,12.755,9.818,10.365,11.657
"m35.005 ((H3P)H+) ",66.051,19.762,24.155,22.281,26.959,23.959,25.863,24.411,23.151,19.535,23.023,104.516,23.119,25.087,27.961,14.596,12.82,9.85,10.656,11.98
"m35.976 ((HCl)+) ",9.365,6.977,6.815,6.105,7.396,6.169,6.168,6.491,6.524,6.718,6.298,11.044,6.266,6.491,6.524,8.849,5.846,5.554,5.781,5.943
"m36.984 ((HCl)H+) ",8677.781,9913.699,10461.601,12530.48,12658.065,13232.287,14051.897,14172.176,15172.646,16280.316,16067.753,15642.748,16935.676,16714.432,16693.877,6538.629,12483.037,14101.605,16040.272,17044.293
"m37.028 (cluster h2oH+) ",8688.81,9914.218,10462.942,12533.325,12661.754,13235.822,14056.925,14176.189,15178.018,16286.832,16074.649,15648.088,16942.959,16721.107,16700.918,6539.295,12485.898,14107.402,16045.695,17051.836
"m41.002 ((C2O)H+) ",687.395,402.386,535.7,476.536,682.015,707.959,490.523,568.189,667.508,524.799,569.395,932.174,501.782,625.518,691.035,230.927,273.925,340.23,362.975,403.755
"m41.026 ((C2H3N)+) ",687.789,402.388,535.671,476.83,682.411,708.061,491.109,568.515,667.707,525.126,569.786,932.084,501.946,625.585,691.332,230.927,274.087,340.524,363.366,403.919
"m41.039 ((C3H5)+) ",687.792,402.066,535.64,476.864,682.347,707.869,491.207,568.29,667.579,525.16,569.69,932.381,501.98,625.522,691.368,230.894,273.893,340.525,363.302,403.759
"m42.034 ((C2H3N)H+) ",153.889,121.777,111.735,104.565,99.14,108.925,98.266,118.902,113.411,108.955,103.468,128.756,106.728,104.79,101.335,140.252,113.671,114.092,107.338,108.439
"m43.018 ((C2H3O)+) ",7519.62,1163.231,1102.405,1123.727,1535.144,1210.078,930.652,1147.974,1335.543,1076.105,1309.916,1609.771,772.332,1117.832,1486.959,568.032,527.138,528.92,522.005,532.847
"m43.054 ((C3H7)+) ",7509.534,1159.34,1099.645,1121.031,1531.713,1207.578,929.404,1145.764,1332.978,1074.637,1307.804,1606.994,771.179,1116.297,1484.151,565.551,526.368,527.696,520.91,531.687
