m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	133.168	134.575	1.011
18.010	7941.953	7908.244	0.996
18.034	7973.545	7938.755	0.996
19.018	526991.750	527177.062	1.000
21.022	1845.758	1838.543	0.996
26.015	7.346	7.267	0.989
27.010	53.510	59.265	1.108
27.994	31.352	31.053	0.990
28.006	31.391	30.891	0.984
28.018	31.450	31.149	0.990
28.031	31.456	31.214	0.992
29.002	4968.166	4960.673	0.998
29.013	4969.312	4961.670	0.998
29.026	4969.692	4962.187	0.998
29.039	4969.570	4962.236	0.999
29.997	3583.611	3583.919	1.000
30.021	3583.613	3583.660	1.000
30.034	3583.250	3583.518	1.000
30.046	3582.254	3582.365	1.000
31.005	205.850	226.105	1.098
31.018	206.442	226.816	1.099
31.029	206.546	226.848	1.098
31.042	206.170	226.719	1.100
31.054	205.624	226.171	1.100
31.989	62928.371	62651.676	0.996
32.049	62894.496	62616.289	0.996
32.989	22454.770	25144.932	1.120
32.989	22454.770	25144.932	1.120
32.997	22516.816	25211.631	1.120
33.033	22544.664	25242.264	1.120
33.045	22543.441	25240.496	1.120
33.987	555.027	590.912	1.065
33.997	555.820	591.602	1.064
34.005	556.419	592.223	1.064
34.995	61.434	65.922	1.073
35.005	61.486	66.051	1.074
35.976	8.588	9.365	1.090
36.984	8827.163	8677.781	0.983
37.028	8837.883	8688.810	0.983
41.002	629.814	687.395	1.091
41.026	630.303	687.789	1.091
41.039	630.469	687.792	1.091
42.034	145.668	153.889	1.056
43.018	6757.998	7519.620	1.113
43.054	6748.533	7509.534	1.113
43.989	192.755	208.892	1.084
44.001	192.821	209.118	1.085
44.062	191.515	207.957	1.086
44.997	1360.382	1499.934	1.103
45.033	1360.363	1499.798	1.102
45.992	74.651	76.551	1.025
46.021	74.255	76.294	1.027
47.013	158.746	167.306	1.054
47.037	158.668	167.403	1.055
47.049	158.642	167.306	1.055
47.060	158.519	167.112	1.054
47.984	6.097	6.975	1.144
49.011	5.623	5.844	1.039
49.992	8.383	8.297	0.990
51.000	16.686	19.175	1.149
52.012	2.106	2.196	1.043
52.018	2.080	2.196	1.056
53.026	9.416	9.040	0.960
53.939	5.421	6.619	1.221
54.046	5.525	6.426	1.163
54.947	122.272	131.436	1.075
57.033	319.338	344.692	1.079
57.070	319.411	345.049	1.080
59.049	5257.928	5969.704	1.135
59.086	5256.254	5967.327	1.135
61.028	12635.927	14100.587	1.116
61.065	12632.500	14097.553	1.116
62.995	79.748	80.321	1.007
63.026	79.716	80.514	1.010
64.003	5.428	6.137	1.131
65.020	6.462	7.298	1.129
68.049	2.788	3.100	1.112
69.033	72.423	73.699	1.018
69.070	72.365	73.538	1.016
71.049	64.318	69.437	1.080
71.086	64.370	69.405	1.078
73.065	286.394	285.161	0.996
75.044	1999.126	2254.591	1.128
75.068	1998.973	2254.211	1.128
77.060	28.086	28.182	1.003
78.046	3.764	3.617	0.961
79.054	18.027	18.498	1.026
80.049	2.821	3.326	1.179
81.070	29.223	29.604	1.013
82.078	4.381	4.327	0.988
82.989	72.495	74.068	1.022
83.010	72.618	74.229	1.022
83.049	72.657	74.326	1.023
83.086	72.560	74.133	1.022
83.911	6.610	5.780	0.874
84.081	10.230	9.687	0.947
84.919	44.458	45.585	1.025
85.065	75.468	81.141	1.075
85.101	75.383	81.174	1.077
86.036	8.521	9.010	1.057
86.060	8.528	9.042	1.060
86.096	8.554	9.010	1.053
87.044	34.281	39.516	1.153
87.080	34.300	39.580	1.154
88.112	9.606	9.589	0.998
89.023	833.877	925.995	1.110
89.042	834.016	926.289	1.111
89.060	834.174	926.518	1.111
89.096	834.059	926.325	1.111
90.055	41.721	47.029	1.127
91.039	47.988	48.033	1.001
91.050	47.994	47.936	0.999
91.058	48.020	47.936	0.998
92.062	7.526	7.587	1.008
93.033	113.104	101.593	0.898
93.070	113.130	101.496	0.897
94.041	10.800	9.620	0.891
95.049	25.253	23.985	0.950
95.086	25.221	23.985	0.951
96.057	3.744	3.584	0.957
97.040	23.149	22.468	0.971
97.065	23.136	22.436	0.970
97.101	23.103	22.501	0.974
97.967	3.464	3.131	0.904
98.975	15.011	15.238	1.015
99.080	15.063	15.529	1.031
99.092	15.063	15.529	1.031
99.104	15.063	15.529	1.031
99.117	15.070	15.529	1.030
101.060	27.937	28.667	1.026
101.096	27.898	28.635	1.026
102.025	3.848	3.584	0.931
102.068	3.835	3.552	0.926
102.104	3.848	3.552	0.923
102.128	3.815	3.552	0.931
103.032	16.330	17.077	1.046
103.042	16.317	17.077	1.047
103.075	16.317	17.077	1.047
103.112	16.297	17.077	1.048
103.123	16.291	17.077	1.048
104.047	2.379	2.744	1.154
104.049	2.372	2.744	1.157
104.062	2.353	2.744	1.166
105.037	12.970	12.590	0.971
105.057	12.990	12.622	0.972
105.070	13.016	12.622	0.970
106.078	2.171	1.937	0.892
107.049	20.450	20.789	1.017
107.086	20.443	20.789	1.017
108.057	3.764	3.875	1.030
108.081	3.770	3.907	1.036
108.093	3.770	3.907	1.036
109.065	36.812	39.609	1.076
109.076	36.805	39.609	1.076
109.089	36.799	39.609	1.076
109.101	36.779	39.577	1.076
110.060	4.302	4.358	1.013
110.073	4.309	4.391	1.019
110.084	4.309	4.391	1.019
110.109	4.303	4.358	1.013
111.080	11.055	11.332	1.025
111.092	11.074	11.364	1.026
111.104	11.087	11.397	1.028
111.117	11.107	11.397	1.026
112.007	2.210	2.583	1.169
112.052	2.210	2.615	1.184
112.088	2.210	2.551	1.154
112.112	2.177	2.486	1.142
113.015	11.464	10.815	0.943
113.060	11.445	10.783	0.942
113.096	11.438	10.751	0.940
113.107	11.425	10.751	0.941
114.091	8.163	7.879	0.965
