m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	103.452	107.347	1.038
18.010	6223.064	6222.499	1.000
18.034	6229.039	6228.980	1.000
19.018	543072.437	542634.625	0.999
21.022	1617.250	1641.145	1.015
26.015	4.643	4.489	0.967
27.010	18.872	17.852	0.946
27.994	21.675	22.013	1.016
28.006	21.769	22.013	1.011
28.018	21.777	21.917	1.006
28.031	21.761	21.787	1.001
29.002	4051.533	4041.663	0.998
29.013	4051.471	4041.578	0.998
29.026	4051.253	4041.439	0.998
29.039	4050.789	4041.007	0.998
29.997	2910.164	2921.357	1.004
30.021	2909.790	2920.987	1.004
30.034	2909.209	2920.516	1.004
30.046	2907.919	2919.430	1.004
31.005	43.222	43.711	1.011
31.018	43.317	43.776	1.011
31.029	43.262	43.615	1.008
31.042	43.017	43.195	1.004
31.054	42.915	42.872	0.999
31.989	52521.883	52537.434	1.000
32.049	52445.387	52465.844	1.000
32.989	2049.602	1914.077	0.934
32.989	2049.452	1913.980	0.934
32.997	2049.550	1914.195	0.934
33.033	2049.133	1913.640	0.934
33.045	2048.362	1912.787	0.934
33.987	250.556	248.433	0.992
33.997	250.446	248.207	0.991
34.005	250.359	248.078	0.991
34.995	13.116	11.980	0.913
35.005	13.045	11.883	0.911
35.976	4.446	4.844	1.090
36.984	8039.978	7984.041	0.993
37.028	8040.035	7984.302	0.993
41.002	246.148	242.340	0.985
41.026	246.172	242.437	0.985
41.039	246.133	242.308	0.984
42.034	115.586	116.350	1.007
43.018	493.644	481.011	0.974
43.054	492.141	479.753	0.975
43.989	31.219	29.407	0.942
44.001	31.172	29.407	0.943
44.062	30.991	29.310	0.946
44.997	262.688	256.311	0.976
45.033	262.515	256.214	0.976
45.992	29.031	28.023	0.965
46.021	29.008	28.056	0.967
47.013	89.184	89.681	1.006
47.037	89.098	89.681	1.007
47.049	89.098	89.616	1.006
47.060	89.058	89.552	1.006
47.984	2.908	2.712	0.933
49.011	2.900	2.615	0.902
49.992	6.367	6.553	1.029
51.000	3.097	3.035	0.980
52.012	0.678	0.549	0.810
52.018	0.685	0.581	0.847
53.026	7.463	8.007	1.073
53.939	1.749	1.840	1.052
54.046	1.797	2.098	1.168
54.947	96.200	96.454	1.003
57.033	114.712	113.315	0.988
57.070	114.649	113.283	0.988
59.049	482.732	456.440	0.946
59.086	482.331	455.989	0.945
61.028	693.103	686.596	0.991
61.065	692.742	686.113	0.990
62.995	95.955	90.897	0.947
63.026	95.916	90.929	0.948
64.003	2.222	2.034	0.915
65.020	3.846	3.616	0.940
68.049	5.406	5.616	1.039
69.033	66.327	65.267	0.984
69.070	66.335	65.332	0.985
71.049	35.648	34.767	0.975
71.086	35.640	34.638	0.972
73.065	140.416	135.699	0.966
75.044	97.455	95.355	0.978
75.068	97.368	95.291	0.979
77.060	22.704	21.728	0.957
78.046	3.783	4.553	1.203
79.054	27.687	27.308	0.986
80.049	3.247	3.487	1.074
81.070	53.535	51.869	0.969
82.078	5.335	5.005	0.938
82.989	51.009	48.902	0.959
83.010	51.033	48.934	0.959
83.049	51.104	49.031	0.959
83.086	51.009	48.838	0.957
83.911	7.172	7.006	0.977
84.081	7.401	7.200	0.973
84.919	158.026	155.275	0.983
85.065	159.351	156.503	0.982
85.101	159.107	156.148	0.981
86.036	11.883	11.880	1.000
86.060	11.852	11.848	1.000
86.096	11.749	11.654	0.992
87.044	13.175	11.975	0.909
87.080	13.175	11.975	0.909
88.112	3.452	3.552	1.029
89.023	364.425	357.454	0.981
89.042	364.370	357.454	0.981
89.060	364.299	357.357	0.981
89.096	364.150	357.260	0.981
90.055	18.366	18.270	0.995
91.039	67.013	65.495	0.977
91.050	66.934	65.495	0.979
91.058	66.958	65.463	0.978
92.062	16.893	16.332	0.967
93.033	317.022	309.733	0.977
93.070	316.912	309.637	0.977
94.041	25.465	25.210	0.990
95.049	24.041	23.274	0.968
95.086	24.025	23.242	0.967
96.057	3.696	3.746	1.013
97.040	28.495	27.990	0.982
97.065	28.518	28.087	0.985
97.101	28.495	28.087	0.986
97.967	6.163	5.941	0.964
98.975	20.376	20.499	1.006
99.080	20.345	20.434	1.004
99.092	20.329	20.402	1.004
99.104	20.313	20.402	1.004
99.117	20.313	20.402	1.004
101.060	13.286	13.171	0.991
101.096	13.215	13.138	0.994
102.025	3.231	3.293	1.019
102.068	3.223	3.293	1.022
102.104	3.247	3.326	1.024
102.128	3.215	3.293	1.024
103.032	14.294	13.558	0.949
103.042	14.294	13.558	0.949
103.075	14.239	13.526	0.950
