m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	103.106	106.020	1.028
18.010	6207.566	6191.047	0.997
18.034	6213.080	6197.689	0.998
19.018	543562.062	544041.125	1.001
21.022	1623.006	1614.969	0.995
26.015	4.635	4.845	1.045
27.010	18.877	19.144	1.014
27.994	22.280	22.241	0.998
28.006	22.248	22.241	1.000
28.018	22.224	22.209	0.999
28.031	22.199	22.306	1.005
29.002	4054.104	4055.885	1.000
29.013	4054.188	4055.942	1.000
29.026	4054.006	4055.502	1.000
29.039	4053.363	4054.682	1.000
29.997	2913.297	2912.635	1.000
30.021	2912.728	2912.333	1.000
30.034	2912.005	2911.109	1.000
30.046	2910.803	2909.667	1.000
31.005	41.225	39.287	0.953
31.018	41.233	39.158	0.950
31.029	41.282	39.061	0.946
31.042	41.185	38.932	0.945
31.054	41.072	38.900	0.947
31.989	53089.270	53126.586	1.001
32.049	53027.039	53065.434	1.001
32.989	1672.576	1613.754	0.965
32.989	1672.317	1613.431	0.965
32.997	1672.521	1613.380	0.965
33.033	1671.963	1613.197	0.965
33.045	1671.397	1612.868	0.965
33.987	248.088	252.342	1.017
33.997	248.161	252.471	1.017
34.005	248.081	252.471	1.018
34.995	12.158	12.045	0.991
35.005	12.198	12.078	0.990
35.976	4.247	4.166	0.981
36.984	7308.693	7270.784	0.995
37.028	7308.995	7271.415	0.995
41.002	260.605	260.168	0.998
41.026	260.549	260.071	0.998
41.039	260.549	260.168	0.999
42.034	102.662	101.912	0.993
43.018	565.616	560.846	0.992
43.054	563.826	558.910	0.991
43.989	32.636	32.183	0.986
44.001	32.628	32.151	0.985
44.062	32.418	31.763	0.980
44.997	257.866	260.616	1.011
45.033	257.697	260.196	1.010
45.992	29.920	30.186	1.009
46.021	29.855	30.025	1.006
47.013	81.921	81.897	1.000
47.037	81.865	81.865	1.000
47.049	81.857	81.800	0.999
47.060	81.808	81.671	0.998
47.984	2.381	2.389	1.003
49.011	2.639	2.486	0.942
49.992	6.230	6.424	1.031
51.000	2.486	2.518	1.013
52.012	0.831	0.807	0.971
52.018	0.815	0.807	0.990
53.026	5.843	5.811	0.994
53.939	1.469	1.453	0.989
54.046	1.525	1.388	0.910
54.947	75.530	77.726	1.029
57.033	121.074	120.226	0.993
57.070	120.993	120.161	0.993
59.049	380.860	374.434	0.983
59.086	380.441	374.144	0.983
61.028	877.865	868.554	0.989
61.065	877.390	868.233	0.990
62.995	55.087	53.351	0.968
63.026	55.039	53.545	0.973
64.003	1.953	2.002	1.025
