m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	110.781	110.061	0.993
18.010	7368.995	7353.242	0.998
18.034	7382.231	7367.731	0.998
19.018	516116.156	516641.062	1.001
21.022	1983.040	1986.031	1.002
26.015	6.520	6.847	1.050
27.010	28.799	29.442	1.022
27.994	27.531	26.794	0.973
28.006	27.622	26.794	0.970
28.018	27.680	26.955	0.974
28.031	27.498	26.826	0.976
29.002	4790.580	4793.863	1.001
29.013	4790.868	4794.469	1.001
29.026	4790.582	4793.752	1.001
29.039	4789.925	4792.909	1.001
29.997	3580.069	3568.483	0.997
30.021	3579.922	3568.492	0.997
30.034	3579.255	3567.958	0.997
30.046	3577.243	3566.211	0.997
31.005	114.517	114.459	0.999
31.018	114.517	114.362	0.999
31.029	114.311	113.975	0.997
31.042	113.690	113.458	0.998
31.054	112.905	112.070	0.993
31.989	60913.895	60929.863	1.000
32.049	60846.719	60861.840	1.000
32.989	10530.064	11019.431	1.046
32.989	10529.717	11019.205	1.046
32.997	10537.969	11028.162	1.047
33.033	10541.107	11031.553	1.047
33.045	10539.441	11029.648	1.047
33.987	397.111	402.251	1.013
33.997	397.015	402.093	1.013
34.005	396.912	402.227	1.013
34.995	32.163	32.646	1.015
35.005	32.081	32.647	1.018
35.976	7.455	7.428	0.996
36.984	15829.795	15820.889	0.999
37.028	15835.526	15826.489	0.999
41.002	368.152	368.746	1.002
41.026	368.263	368.686	1.001
41.039	368.090	368.590	1.001
42.034	131.600	133.146	1.012
43.018	1530.494	1538.883	1.005
43.054	1526.361	1534.692	1.005
43.989	69.699	69.151	0.992
44.001	69.699	69.151	0.992
44.062	68.433	68.021	0.994
44.997	767.866	715.616	0.932
45.033	767.547	715.588	0.932
45.992	50.589	48.654	0.962
46.021	50.449	48.364	0.959
47.013	145.838	146.071	1.002
47.037	145.788	146.103	1.002
47.049	145.730	146.168	1.003
47.060	145.672	146.200	1.004
47.984	8.157	7.007	0.859
49.011	13.440	12.267	0.913
49.992	8.825	8.296	0.940
51.000	14.457	14.333	0.991
52.012	1.447	1.421	0.982
52.018	1.456	1.453	0.998
53.026	7.469	7.682	1.029
53.939	3.342	3.712	1.111
54.046	3.408	3.809	1.118
54.947	92.966	91.805	0.988
57.033	260.564	257.314	0.988
57.070	260.490	256.927	0.986
59.049	5971.167	5986.331	1.003
59.086	5967.750	5982.642	1.002
61.028	2069.872	2067.935	0.999
61.065	2068.761	2067.141	0.999
62.995	343.945	322.504	0.938
63.026	343.780	322.343	0.938
64.003	11.033	9.685	0.878
65.020	15.855	14.754	0.931
68.049	6.221	6.296	1.012
69.033	67.150	69.182	1.030
69.070	67.133	69.053	1.029
71.049	57.957	57.783	0.997
71.086	57.940	57.653	0.995
73.065	251.140	255.732	1.018
75.044	319.989	316.318	0.989
75.068	319.741	316.124	0.989
77.060	46.657	48.652	1.043
78.046	7.289	7.233	0.992
79.054	24.929	24.375	0.978
80.049	3.243	3.713	1.145
81.070	58.325	58.425	1.002
82.078	6.336	6.199	0.978
82.989	50.690	50.488	0.996
83.010	50.740	50.585	0.997
83.049	50.765	50.682	0.998
83.086	50.765	50.714	0.999
83.911	6.866	7.136	1.039
84.081	8.496	8.590	1.011
84.919	223.425	223.382	1.000
85.065	242.850	244.893	1.008
85.101	242.717	244.828	1.009
86.036	19.774	20.303	1.027
86.060	19.791	20.335	1.028
86.096	19.799	20.400	1.030
87.044	24.283	23.923	0.985
87.080	24.307	24.019	0.988
88.112	7.858	6.975	0.888
89.023	197.073	194.359	0.986
89.042	197.090	194.327	0.986
89.060	197.115	194.262	0.986
89.096	197.048	194.262	0.986
90.055	11.546	10.847	0.939
91.039	80.322	79.993	0.996
91.050	80.520	80.219	0.996
91.058	80.545	80.252	0.996
92.062	36.496	36.799	1.008
93.033	842.814	844.721	1.002
93.070	842.883	844.820	1.002
94.041	66.107	64.167	0.971
95.049	38.594	37.449	0.970
95.086	38.594	37.481	0.971
96.057	4.417	4.746	1.075
97.040	22.324	22.308	0.999
97.065	22.324	22.340	1.001
97.101	22.407	22.373	0.998
97.967	4.600	4.650	1.011
98.975	32.214	31.636	0.982
99.080	32.214	31.636	0.982
99.092	32.231	31.668	0.983
99.104	32.256	31.636	0.981
99.117	32.248	31.636	0.981
101.060	27.186	26.731	0.983
101.096	27.153	26.602	0.980
102.025	4.194	4.390	1.047
102.068	4.161	4.390	1.055
102.104	4.152	4.325	1.042
102.128	4.152	4.293	1.034
103.032	20.825	20.822	1.000
103.042	20.833	20.822	0.999
103.075	20.842	20.822	0.999
103.112	20.800	20.854	1.003
103.123	20.775	20.790	1.001
104.047	2.597	2.163	0.833
104.049	2.589	2.131	0.823
104.062	2.572	2.163	0.841
105.037	67.968	69.078	1.016
105.057	67.943	69.046	1.016
105.070	67.960	69.046	1.016
106.078	7.866	8.684	1.104
107.049	47.792	47.417	0.992
107.086	47.792	47.417	0.992
108.057	7.197	7.362	1.023
108.081	7.172	7.362	1.026
108.093	7.155	7.329	1.024
109.065	22.877	22.114	0.967
109.076	22.869	22.114	0.967
109.089	22.869	22.114	0.967
109.101	22.885	22.114	0.966
110.060	2.854	2.486	0.871
110.073	2.870	2.518	0.877
110.084	2.870	2.518	0.877
110.109	2.936	2.583	0.880
111.080	10.348	10.395	1.005
111.092	10.331	10.299	0.997
111.104	10.331	10.299	0.997
111.117	10.315	10.299	0.998
112.007	2.548	2.744	1.077
112.052	2.581	2.809	1.088
112.088	2.589	2.906	1.122
112.112	2.581	2.906	1.126
113.015	10.447	10.720	1.026
113.060	10.406	10.720	1.030
113.096	10.373	10.817	1.043
113.107	10.381	10.817	1.042
114.091	9.802	9.007	0.919
114.128	9.785	9.007	0.920
115.075	10.778	11.267	1.045
115.112	10.778	11.300	1.048
115.123	10.803	11.396	1.055
116.143	2.349	2.034	0.866
117.070	37.259	38.352	1.029
117.078	37.259	38.352	1.029
117.091	37.259	38.384	1.030
117.102	37.276	38.384	1.030
117.127	37.077	38.158	1.029
118.065	3.251	3.293	1.013
118.078	3.234	3.261	1.008
118.081	3.226	3.229	1.001
118.086	3.234	3.261	1.008
119.060	12.589	12.720	1.010
119.086	12.564	12.720	1.012
120.081	1.497	1.420	0.949
121.052	26.665	26.344	0.988
121.065	26.657	26.344	0.988
121.089	26.657	26.312	0.987
121.101	26.665	26.312	0.987
122.060	3.061	2.518	0.823
122.084	3.086	2.518	0.816
122.096	3.102	2.551	0.822
123.092	9.348	9.009	0.964
124.039	1.745	2.131	1.221
124.057	1.745	2.098	1.202
125.042	8.611	8.007	0.930
125.060	8.603	8.039	0.934
125.071	8.595	8.007	0.932
125.084	8.603	8.007	0.931
125.096	8.595	8.007	0.932
125.107	8.595	7.975	0.928
125.120	8.611	7.975	0.926
127.112	14.027	13.816	0.985
127.136	14.019	13.816	0.986
127.903	2.994	2.777	0.927
128.120	3.127	3.132	1.002
128.143	3.110	3.100	0.997
128.911	9.785	9.556	0.977
129.045	10.100	9.782	0.969
129.070	10.116	9.815	0.970
129.091	10.133	9.847	0.972
129.127	10.075	9.879	0.981
129.139	10.058	9.879	0.982
129.151	10.017	9.782	0.977
131.060	9.133	9.493	1.039
131.107	9.116	9.461	1.038
131.143	9.067	9.461	1.043
131.154	9.075	9.525	1.050
132.066	1.455	1.356	0.931
132.102	1.472	1.356	0.921
133.065	6.496	6.459	0.994
133.101	6.206	6.265	1.010
135.080	7.131	7.135	1.001
135.117	7.089	7.135	1.006
137.047	34.397	33.993	0.988
137.060	34.381	33.993	0.989
137.060	34.381	33.993	0.989
137.071	34.372	33.993	0.989
137.132	34.381	33.993	0.989
139.148	6.709	6.522	0.972
144.175	2.018	2.195	1.088
145.076	22.347	22.081	0.988
145.122	22.363	22.113	0.989
145.962	2.911	2.744	0.942
145.968	2.911	2.744	0.942
146.970	3.822	3.552	0.929
146.976	3.805	3.552	0.933
148.088	0.877	0.872	0.994
148.125	0.885	0.904	1.022
149.096	32.802	34.058	1.038
151.075	8.553	8.653	1.012
152.120	1.629	1.872	1.149
153.055	6.766	6.845	1.012
153.070	6.766	6.878	1.016
153.127	6.766	6.878	1.016
153.151	6.742	6.845	1.015
153.980	1.323	1.485	1.122
155.086	8.876	8.943	1.008
155.107	8.884	8.975	1.010
155.142	8.851	8.975	1.014
157.159	5.104	5.393	1.057
159.174	14.476	12.689	0.877
161.132	2.175	2.260	1.039
162.128	1.017	0.839	0.825
163.063	4.401	4.229	0.961
163.075	4.401	4.229	0.961
163.099	4.409	4.230	0.959
163.123	4.401	4.165	0.946
163.136	4.401	4.165	0.946
163.148	4.393	4.133	0.941
165.091	2.481	2.389	0.963
165.985	0.703	0.613	0.873
166.062	0.711	0.645	0.908
166.078	0.703	0.645	0.918
166.135	0.711	0.613	0.862
167.070	3.143	3.035	0.966
167.086	3.143	3.035	0.966
174.140	5.641	5.295	0.939
175.148	1.422	1.517	1.067
178.062	1.125	1.001	0.890
178.123	1.100	1.033	0.939
179.086	1.199	1.065	0.888
179.107	1.199	1.097	0.915
179.128	1.199	1.097	0.915
179.929	0.612	0.581	0.949
180.081	0.562	0.548	0.976
180.093	0.570	0.548	0.961
180.151	0.562	0.548	0.976
180.937	15.277	11.622	0.761
181.076	15.343	11.655	0.760
181.101	15.310	11.558	0.755
181.159	15.277	11.526	0.754
181.170	15.277	11.526	0.754
182.109	1.257	1.001	0.796
183.047	4.806	5.424	1.129
183.080	4.798	5.425	1.131
186.140	0.819	0.904	1.104
187.148	1.563	1.356	0.867
188.937	0.943	0.774	0.822
189.164	0.885	0.613	0.693
191.143	2.912	3.197	1.098
192.093	2.498	2.648	1.060
193.101	5.254	5.717	1.088
193.122	5.130	5.684	1.108
194.154	2.093	2.228	1.064
195.065	2.027	2.260	1.115
195.138	1.994	2.163	1.085
197.132	1.654	1.550	0.937
199.148	2.564	2.454	0.957
201.139	14.549	14.494	0.996
201.233	14.565	14.462	0.993
203.086	1.067	1.420	1.331
203.154	1.092	1.453	1.331
204.187	0.471	0.678	1.438
205.157	1.406	1.388	0.987
205.195	1.398	1.388	0.993
211.148	12.955	12.787	0.987
228.093	11.555	12.237	1.059
228.269	11.522	12.205	1.059
237.164	1.034	0.904	0.874
239.007	1.340	1.388	1.036
239.179	1.365	1.420	1.041
150.000	793.377	791.464	0.998
