m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
17.026	110.747	110.449	0.997
18.010	7435.778	7589.079	1.021
18.034	7449.973	7602.897	1.021
19.018	516685.531	516459.312	1.000
21.022	1973.214	1990.817	1.009
26.015	6.826	6.976	1.022
27.010	29.592	31.670	1.070
27.994	27.275	25.049	0.918
28.006	27.275	24.985	0.916
28.018	27.349	25.114	0.918
28.031	27.415	25.275	0.922
29.002	4700.175	4692.661	0.998
29.013	4700.597	4693.400	0.998
29.026	4700.443	4693.442	0.999
29.039	4699.773	4692.903	0.999
29.997	3520.531	3510.426	0.997
30.021	3520.412	3510.573	0.997
30.034	3519.777	3510.142	0.997
30.046	3517.934	3508.029	0.997
31.005	116.964	118.363	1.012
31.018	116.931	118.234	1.011
31.029	116.667	118.460	1.015
31.042	116.179	118.040	1.016
31.054	115.211	116.878	1.014
31.989	58454.238	58061.430	0.993
32.049	58391.926	57999.074	0.993
32.989	13541.709	13854.407	1.023
32.989	13541.469	13854.149	1.023
32.997	13554.573	13867.981	1.023
33.033	13559.312	13873.008	1.023
33.045	13558.130	13871.983	1.023
33.987	422.854	423.235	1.001
33.997	422.726	423.078	1.001
34.005	422.805	423.276	1.001
34.995	39.678	41.713	1.051
35.005	39.538	41.422	1.048
35.976	7.588	7.073	0.932
36.984	17676.277	18384.947	1.040
37.028	17683.496	18392.789	1.040
41.002	377.364	393.927	1.044
41.026	377.466	394.059	1.044
41.039	377.468	394.061	1.044
42.034	134.680	134.924	1.002
43.018	1371.515	1617.305	1.179
43.054	1367.844	1613.206	1.179
43.989	62.313	68.924	1.106
44.001	62.231	68.762	1.105
44.062	61.354	67.955	1.108
44.997	1161.889	1240.028	1.067
45.033	1161.417	1239.621	1.067
45.992	56.372	62.151	1.103
46.021	56.272	62.022	1.102
47.013	155.244	163.945	1.056
47.037	155.219	163.784	1.055
47.049	155.194	163.719	1.055
47.060	155.145	163.622	1.055
47.984	6.941	7.459	1.075
49.011	25.470	20.949	0.823
49.992	9.172	9.555	1.042
51.000	19.261	20.240	1.051
52.012	1.563	1.840	1.177
52.018	1.563	1.873	1.198
53.026	6.800	7.619	1.121
53.939	3.391	3.584	1.057
54.046	3.408	3.584	1.052
54.947	93.248	100.365	1.076
57.033	299.690	322.633	1.077
57.070	299.525	322.407	1.076
59.049	4703.903	4559.562	0.969
59.086	4701.535	4557.441	0.969
61.028	1798.600	2175.548	1.210
61.065	1797.657	2174.497	1.210
62.995	198.856	201.118	1.011
63.026	198.698	200.924	1.011
64.003	6.833	7.361	1.077
65.020	10.471	10.783	1.030
68.049	6.841	7.685	1.123
69.033	64.956	68.791	1.059
69.070	64.874	68.662	1.058
71.049	57.708	58.619	1.016
71.086	57.634	58.490	1.015
73.065	217.459	238.294	1.096
75.044	213.100	248.974	1.168
75.068	212.985	249.103	1.170
77.060	45.434	46.361	1.020
78.046	7.662	7.428	0.970
79.054	27.519	30.639	1.113
80.049	3.499	3.972	1.135
81.070	67.259	78.350	1.165
82.078	6.808	7.586	1.114
82.989	48.426	51.137	1.056
83.010	48.442	51.202	1.057
83.049	48.475	51.266	1.058
83.086	48.384	51.170	1.058
83.911	6.055	6.005	0.992
84.081	7.768	8.072	1.039
84.919	256.900	264.380	1.029
85.065	283.507	293.574	1.036
85.101	283.366	293.510	1.036
86.036	22.346	23.502	1.052
86.060	22.338	23.469	1.051
86.096	22.338	23.469	1.051
