id,db,query,phylum
746128,ncbi,Aspergillus Fumigatus,Ascomycota
292,ncbi,Burkholderia Cepacia,Pseudomonadota
562,ncbi,Escherichia Coli,Pseudomonadota
487,ncbi,Neisseria Meningitidis,Pseudomonadota
287,ncbi,Pseudomonas Aeruginosa,Pseudomonadota
1280,ncbi,Staphylococcus Aureus,Bacillota
40324,ncbi,Stenotrophomonas Maltophilia,Pseudomonadota
1313,ncbi,Streptococcus Pneumoniae,Bacillota
573,ncbi,Klebsiella Pneumoniae,Pseudomonadota
727,ncbi,Haemophilus Influenzae,Pseudomonadota
1765,ncbi,Mycobacterium Bovis,Actinomycetota
550,ncbi,Enterobacter Cloacae,Pseudomonadota
46472,ncbi,Aspergillus Versicolor,Ascomycota
38033,ncbi,Chaetomium Globosum,Ascomycota
5054,ncbi,Eurotium Amstelodami,Ascomycota
624,ncbi,Shigella Sonnei,Pseudomonadota
670,ncbi,Vibrio Parahaemolyticus,Pseudomonadota
5507,ncbi,Fusarium Oxysporum,Ascomycota
948311,ncbi,Fusarium Proliferatum,Ascomycota
294,ncbi,Pseudomonas Fluorescens,Pseudomonadota
306,ncbi,Pseudomonas Sp.,Pseudomonadota
42249,ncbi,Tuber Magnatum,Ascomycota
65672,ncbi,Serendipita Indica,Basidiomycota
1052582,ncbi,Serendipita Williamsii,Basidiomycota
28211,ncbi,Alpha Proteobacteria,Pseudomonadota
1236,ncbi,Gamma Proteobacteria,Pseudomonadota
511,ncbi,Alcaligenes Faecalis,Pseudomonadota
126333,ncbi,Desulfovibrio Acrylicus,Thermodesulfobacteriota
115544,ncbi,Parasporobacterium Paucivorans,Bacillota
44273,ncbi,Lactococcus Sp.,Bacillota
1591,ncbi,Lactobacillus Sp.,Bacillota
1506,ncbi,Clostridium Sp.,Bacillota
158899,ncbi,Collimonas Fungivorans,Pseudomonadota
,,,
119233,ncbi,Tuber Rufum,Ascomycota
92904,ncbi,Tuber Mesentericum,Ascomycota
39416,ncbi,Tuber Melanosporum,Ascomycota
59557,ncbi,Tuber Aestivum,Ascomycota
36049,ncbi,Tuber Uncinatum,Ascomycota
279113,ncbi,Collimonas Pratensis,Pseudomonadota
29916,ncbi,Fusarium Sp.,Ascomycota
5081,ncbi,Penicillium Sp.,Ascomycota
1848,ncbi,Pseudonocardia Thermophila,Actinomycetota
,,,
1931,ncbi,Streptomyces Sp.,Actinomycetota
82996,ncbi,Serratia Plymuthica,Pseudomonadota
58172,ncbi,Paenibacillus Sp.,Bacillota
1411316,ncbi,Pedobacter Sp.,Bacteroidota
305,ncbi,Ralstonia Solanacearum,Pseudomonadota
36653,ncbi,Penicillium Commune,Ascomycota
,,,
303,ncbi,Pseudomonas Putida,Pseudomonadota
60451,ncbi,Tuber Excavatum,Ascomycota
60458,ncbi,Tuber Brumale,Ascomycota
549,ncbi,Enterobacter Agglomerans,Pseudomonadota
NA,ncbi,Clostridium Difficile,NA
42895,ncbi,Enterobacter Sp.,Pseudomonadota
298908,ncbi,Pseudomonas Segetis,Pseudomonadota
